->apsoros|absoros
WW||||
->aggaudeo|adgaudeo
LS|adgaudeo|adgaudĕo|ēre||v. n.|to be delighted with, to delight in|aggaudeo|(
GG|adgaudeo|adgaudĕo|ēre||intr.|int., se réjouir avec [dat.]|adgaudeo|
GJ|adgaudeo|adgaudĕo|ēre|- intr. avec dat. - se réjouir avec.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->agglomero|adglomero
LS|adglomero|adglŏmĕro|āvi, ātum, 1||v. a.|to wind on, as on a ball, to add, join to, to annex;, to join one's self to, raises it up, as a ball, heaps it up|agglomero|(
GG|adglomero|adglŏmĕro|āvī, ātum, āre||tr.|tr., (ajouter en formant pelote), rattacher (réunir) étroitement|adglomero|
GJ|adglomero|adglŏmĕro|āre, āvi, ātum|- tr. - (ajouter en formant pelote), rattacher (réunir) étroitement.
Ge|
FG|adglomero|adglomero are avi atum, transitif (ajouter en formant pelote), rattacher (réunir) étroitement.
Lw|
YO|
PO|
WW|||adglomero, adglomeravi|adglomero, adglomeratum
->aggredio|adgredio
LS|adgredio|adgrĕdĭo|ĕre||v. n.|act., to go to, approach, adgreditur, adgreditor, Pass.|aggredio|(
GG|
GJ|adgredio|adgrĕdĭo|ĕre|- tr. - 1 - aborder, attaquer. - 2 - entreprendre.
Ge|
FG|
Lw|
YO|
PO|
WW|||adgredio, aggressi|adgredio, adgressum
-|adlatus
LS|adlatus|adlātus|a, um||||allatus|(
GG|adlatus|adlātus||||de adfero.|adlatum|adlātus
GJ|adlatus|adlātus|a, um|part. passé de adfero.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->allectatio|adlectatio
LS|adlectatio|adlectātĭo|ōnis|f.||an enticing, alluring, a nursery song|allectatio|(
GG|adlectatio|adlectātĭo|ōnis|f.||séduction|adlectatio|
GJ|adlectatio|adlectātĭo|ōnis, f.|séduction, chant de nourrice.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->allectura|adlectura
LS|
GG|adlectura|adlectūra|ae|f.||emploi de receveur du fisc|adlectura|
GJ|adlectura|adlectūra|ae, f.|emploi, fonction de receveur du fisc.
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|adlevatus
LS|
GG|adlevatus|adlĕvātus|a, um||part.|part. de adlevo.|adlevatus|
GJ|adlevatus|adlĕvātus|a, um|part. de adlevo.
Ge|
FG|adlevatus|adlevatus a um, participe de adlevo.
Lw|
YO|
PO|
WW||||
-|adlexi
LS|
GG|adlexi|adlexi||||pf. de adlicio.|adlexi|
GJ|
Ge|
FG|adlexi|adlexi, parfait de adlicio.
Lw|
YO|
PO|
WW||||
-|adlisus
LS|adlisus|adlīsus|a, um||||allisus|(
GG|adlisus|adlīsus|a, um||part.|part. de adlido.|adlisus|
GJ|adlisus|adlīsus|a, um|part. de adlido.
Ge|
FG|adlisus|adlisus a um, participe de adlido.
Lw|adlisus|adlīsus||||P. of adlido.||||adlisus
YO|
PO|
WW||||
-|adlocutus
LS|adlocutus|adlŏcūtus|a, um||||allocutus|(
GG|adlocutus|adlŏcūtus|a, um||part.|part. de adloquor.|adlocutus|
GJ|adlocutus|adlŏcūtus|a, um|part. de adloquor.
Ge|
FG|adlocutus|adlocutus a um, participe de adloquor.
Lw|adlocutus|adlocūtus||||P. of adloquor.||||adlocutus
YO|
PO|
WW||||
->allubesco|adlubesco
LS|adlubesco|adlŭbesco|ĕre||v. inch.||allubesco|(
GG|adlubesco|adlŭbesco|ĕre||intr.|int. / complaire à qqn [alicui] / [abst] commencer à plaire (à être du goût de qqn) / commencer à avoir du goût pour qqch [alicui rei]|adlubesco|adlŭbesco
GJ|adlubesco|adlŭbesco|ĕre [ad + lubet]|- intr. - 1 - complaire à qqn [alicui]. - 2 - commencer à avoir du goût pour qqch [alicui rei].
Ge|
FG|
Lw|
YO|
PO|
WW||||
->allusio|adlusio
LS|adlusio|adlūsĭo|ōnis|f.||a playing, sporting with|allusio|(
GG|adlusio|adlūsĭo|ōnis|f.|subst.|action de jouer avec|adlusio|adlūsĭo
GJ|adlusio|adlūsio|ōnis, f.|action de jouer avec.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apparamentum|adparamentum
LS|adparamentum|adpărāmentum|i|n.||a preparing, preparation;, that which is prepared|apparamentum|(
GG|
GJ|adparamentum|adpărāmentum|i, n.|Inscr. apprêt, préparation.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apparate|adparate
LS|adparate|adpărātē|||adv.|sumptuously|apparate|(
GG|
GJ|adparate|adpărātē|adv.|somptueusement, avec de grands préparatifs.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apparatio|adparatio
LS|adparatio|adpărātĭo|ōnis|f.||f, a preparing, preparation, preparation, P a.|apparatio|(
GG|
GJ|adparatio|adpărātĭo|ōnis, f.|- 1 - action de préparer, apprêt; au plur. préparatifs. - 2 - magnificence, pompe. - 3 - recherche, apprêt (dans le style).
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apparator|adparator
LS|adparator|adpărātor|ōris|m.||one that prepares|apparator|(
GG|
GJ|adparator|adpărātŏr|ōris, m.|ordonnateur, décorateur, qui est chargé des préparatifs des fêtes.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apparatrix|adparatrix
LS|adparatrix|adpărātrix|īcis|f.||she that prepares|apparatrix|(
GG|
GJ|adparatrix|adpărātrix|īcis, f.|Hier. préparatrice, celle qui apprête.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apparesco|adparesco
LS|adparesco|adpāresco|ĕre||v. inch.|to begin to appear|apparesco|(
GG|
GJ|adparesco|adpāresco|ĕre|- intr. - Hier. commencer à apparaître.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->appario|adpario
LS|adpario|adpărĭo|ĕre||v. a.|to gain besides, acquire|appario|(
GG|
GJ|adpario|adpărĭo|ĕre|- tr. - Lucr. acquérir, gagner.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apparitio|adparitio
LS|adparitio|adpārĭtĭo|ōnis|f.||A serving, service, attendance|apparitio|(
GG|
GJ|adparitio|adpārĭtĭo|ōnis, f.|- 1 - service auprès d'un magistrat; service divin. - 2 - suite, escorte, cortège. - 3 - appariteurs, serviteurs. - 4 - apparition.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apparitor|adparitor
LS|adparitor|adpārĭtor|ōris|m.||a servant, a public servant, lictor, scribe, military aid, priest|apparitor|(
GG|
GJ|adparitor|adpārĭtŏr|ōris, m.|fonctionnaire subalterne attaché aux officiers civils ou militaires : appariteur, huissier, secrétaire, licteur...
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apparitura|adparitura
LS|adparitura|adpārĭtūra|ae|f.||a serving, service|apparitura|(
GG|
GJ|adparitura|adpārĭtūra|ae, f.|fonction d'appariteur.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->appendo|adpendo
LS|adpendo|adpendo|ēre||v. a.|To hang, upon, to suspend on|appendo|(
GG|adpendo|adpendo|dī, sum, ĕre||tr.|peser / le sens de « suspendre » appartient à la décad.|appendo|adp-
GJ|adpendo|adpendo|ĕre, pendi, pensum|- 1 - peser. - 2 - Hier. suspendre.
Ge|
FG|
Lw|
YO|
PO|
WW|||adpendo, adpendi|adpendo, adpensum
->appensor|adpensor
LS|adpensor|adpensor|ōris|m.||he that weighs out, a weigher|appensor|(
GG|
GJ|adpensor|adpensŏr|ōris, m.|qui pèse (qqch, alicujus rei).
Ge|
FG|
Lw|
YO|
PO|
WW||||
->appetenter|adpetenter
LS|adpetenter|adpĕtenter|||adv.|eagerly, in a grasping spirit, manner, Comp., sup.|appetenter|(
GG|adpetenter|adpĕtentĕr|||adv.|avec avidité|appetenter|adp-
GJ|adpetenter|adpĕtentĕr|adv.|avec avidité, cupidement.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->appetentia|adpetentia
LS|adpetentia|adpĕtentĭa|ae|f.||a longing after, appetite, gen., desire, longing|appetentia|(
GG|adpetentia|adpĕtentĭa|ae|f.|subst.|recherche de qqch, envie, désir|appetentia|adp-
GJ|adpetentia|adpetentĭa|ae, f.|envie, désir, convoitise, penchant naturel, passion.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->appetisso|adpetisso
LS|adpetisso|adpĕtisso|ĕre||v. intens.|to strive for, to seek earnestly, appetis|appetisso|(
GG|
GJ|adpetisso|adpĕtisso|ĕre|- tr. - tirer de loin.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->appetitio|adpetitio
LS|adpetitio|adpĕtītĭo|ōnis|f.||a grasping at, a reaching after.|appetitio|(
GG|adpetitio|adpĕtītĭo|ōnis|f.|subst.|action de chercher à atteindre, désir / désir passionné, convoitise / ]|appetitio|adp-
GJ|adpetitio|adpĕtītĭo|ōnis, f.|- 1 - effort pour saisir. - 2 - désir violent, passion. - 3 - appétit sensuel, désir instinctif. - 4 - appétit.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->appetitor|adpetitor
LS|adpetitor|adpĕtītor|ōris|m.||one that strives, longs for something|appetitor|(
GG|
GJ|adpetitor|adpĕtītŏr|ōris, m.|qui désire avec passion.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->applausor|adplausor
LS|adplausor|adplausor|ōris|m.||one that expresses approbation by clapping of hands, an applauder, plausor.|applausor|(
GG|
GJ|adplausor|adplausŏr|ōris, m.|qui applaudit.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->applicatus|adplicatus
LS|adplicatus|adplĭcātus|a, um||P. a.|Placed upon, lying upon, close to, attached to|applicatus|(
GG|adplicatus|adplĭcātus|a, um||part.|part. de applico.|applicatus|adp-
GJ|adplicatus|adplĭcātus|a, um|part. passé de applico; appliqué, adhérent, adapté, attaché à, joint.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->applicitus|adplicitus
LS|adplicitus|adplĭcĭtus|a, um||P. a.||applicitus|(
GG|adplicitus|adplĭcĭtus|a, um||adj.|v. applico|applicitus|adp-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->applodo|adplodo
LS|adplodo|adplōdo|||||applodo|(
GG|
GJ|adplodo|adplōdo|ĕre, plausi, plausum|: - tr. et intr. - frapper contre (qqch, alicui rei), battre, applaudir.
Ge|
FG|
Lw|
YO|
PO|
WW|||adplodo, adplosi|adplodo, adplosum
->apploro|adploro
LS|
GG|adploro|adplōro|āvī, āre||intr.|int., pleurer à propos de, adresser ses larmes à / pleurer à côté de (dans le sein de) qqn [avec dat.]|apploro|adp-
GJ|adploro|adplōro|āre, āvi|- intr. avec dat. - pleurer avec ou pleurer auprès, pleurer.
Ge|
FG|
Lw|
YO|
PO|
WW|||adploro, adploravi|adploro, adploratum
->apporrectus|adporrectus
LS|adporrectus|adporrectus|a, um||P. a.|stretched, extended near|apporrectus|(
GG|adporrectus|adporrectus|a, um||adj.|étendu auprès|apporrectus|adp-
GJ|adporrectus|adporrectus|a, um|étendu, couché auprès de.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apportatio|adportatio
LS|adportatio|adportātĭo|ōnis|f.||a conveying, carrying to a place|apportatio|(
GG|
GJ|adportatio|adportātĭo|ōnis, f.|transport, charroi.
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|adportatus
LS|
GG|adportatus|adportātus|a, um||part.|part. de apporto.|apportatus|adp-
GJ|adportatus|adportātus|a, um|part. passé de apporto.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apporto|adporto
LS|adporto|adporto|āvi, ātum, 1||v. a.|to bring, carry, conduct, convey to;, to bring an arrival, to arrive, come to|apporto|(
GG|adporto|adporto|āvi, ātum, āre||tr.|tr., amener, transporter / [fig.] apporter avec soi [une nouvelle, un malheur]|apporto|adp-
GJ|adporto|adporto|āre|- tr. - apporter, amener, transporter.
Ge|
FG|
Lw|
YO|
PO|
WW|||adporto, adportavi|adporto, adportatum
->apposco|adposco
LS|adposco|adposco|ĕre||v. a.|to demand in addition to|apposco|(
GG|adposco|adposco|ĕre||tr.|tr., demander en plus|adposco|
GJ|adposco|adposco|ĕre|- tr. - demander en plus.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->appotus|adpotus
LS|adpotus|adpōtus|a, um||adj.|intens., drunk, intoxicated|appotus|(
GG|adpotus|adpōtus|a, um||adj.|qui a bien bu|appotus|adp-
GJ|adpotus|adpōtus|a, um|qui a bien bu.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apprehensibilis|adprehensibilis
LS|adprehensibilis|adprĕhensĭbĭlis|e||adj.|that can be understood, intelligible|apprehensibilis|(
GG|
GJ|adprehensibilis|adprĕhensĭbĭlis|e|compréhensible, intelligible.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apprehensio|adprehensio
LS|adprehensio|adprĕhensĭo|ōnis|f.||a seizing upon, laying hold of|apprehensio|(
GG|
GJ|adprehensio|adprĕhensĭo|ōnis, f.|- 1 - action de saisir. - 2 - catalepsie. - 3 - compréhension, intelligence.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apprenso|adprenso
LS|adprenso|adprenso|āre||v. freq.|to seize, with eagerness;, to catch, snuff up|apprenso|(
GG|
GJ|adprenso|adprenso|āre|chercher à saisir; humer, aspirer.
Ge|
FG|
Lw|
YO|
PO|
WW|||adprenso, adprensavi|adprenso, adprensatum
->appretio|adpretio
LS|adpretio|adprĕtĭo|āvi, ātum, 1||v. a.|To value, estimate at a price, to appraise, rate, med.|appretio|(
GG|
GJ|adpretio|adprĕtĭo|āre, āvi, ātum [ad + pretium]|- tr. - Vulg. évaluer, apprécier, priser, estimer.
Ge|
FG|
Lw|
YO|
PO|
WW|||adpretio, adpretiavi|adpretio, adpretiatum
->apprime|adprime
LS|adprime|adprīmē|||adv.|first of all, before all, especially, exceedingly, very, adjj., verbs.|apprimus|(
GG|adprime|adprīmē|||adv.|en première ligne, avant tout, entre tous, supérieurement|apprime|adp-
GJ|adprime|adprīmē|adv.|- 1 - d'abord, en premier lieu, avant tout. - 2 - beaucoup, surtout, très.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->apprimus|adprimus
LS|adprimus|adprīmus|a, um||adj.|intens., the very first;|apprimus|(better 
GG|adprimus|adprīmus|a, um||adj.|tout premier|apprimus|adp-
GJ|adprimus|adprīmus|a, um|tout premier, éminent.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->approbatio|adprobatio
LS|adprobatio|adprŏbātĭo|ōnis|f.||An approving, allowing, assenting to, approbation, acquiescence, approbation, reception|approbatio|(
GG|adprobatio|adprŏbātĭo|ōnis|f.|subst.|approbation / preuve, confirmation|approbatio|adp-
GJ|adprobatio|adprŏbātĭo|ōnis, f.|- 1 - approbation, assentiment, consentement, aveu. - 2 - assurance, décision, volonté. - 3 - preuve, argument, confirmation.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->approbator|adprobator
LS|adprobator|adprŏbātor|ōris|m.||one who gives his assent, approval, an approver|approbator|(
GG|adprobator|adprŏbātŏr|ōris|m.|subst.|approbateur|approbator|adp-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->approbe|adprobe
LS|adprobe|adprŏbē|||adv.||approbe|(
GG|adprobe|adprŏbē|||adv.|très bien|approbe|adp-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->approbus|adprobus
LS|adprobus|adprŏbus|a, um||adj.|very good, excellent;|approbus|(
GG|adprobus|adprŏbus|a, um||adj.|excellent|approbus|adp-
GJ|adprobus|adprŏbus|a, um|très honnête, excellent.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->appromissor|adpromissor
LS|adpromissor|adprōmissor|ōris|m.||one who is security for another, security, bail|appromissor|(
GG|adpromissor|adprōmissŏr|ōris|m.|subst.|qui se rend caution|appromissor|adp-
GJ|adpromissor|adprōmissŏr|ōris, m.|Dig. répondant, qui se porte caution.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->appromitto|adpromitto
LS|adpromitto|adprōmitto|ĕre||v. a.|to promise in addition to, also in one's own name|appromitto|(
GG|adpromitto|adprōmitto|ĕre||tr.|tr., [av. prop. inf.] se porter garant (être garant) que|appromitto|adp-
GJ|adpromitto|adprōmitto|ĕre|- intr. - répondre pour, se porter caution.
Ge|
FG|
Lw|
YO|
PO|
WW|||adpromitto, adpromisi|adpromitto, adpromissum
->appropero|adpropero
LS|adpropero|adprŏpĕro|āvi, ātum, 1||v. a.|Act., to hasten, accelerate, inf.|appropero|(
GG|adpropero|adprŏpĕro|āvi, ātum, āre||tr. intr.|tr., hâter / int., se hâter|appropero|adp-
GJ|adpropero|adprŏpĕro|āre, āvi, ātum|- 1 - tr. - hâter, accélérer. - 2 - intr. - se hâter.
Ge|
FG|
Lw|
YO|
PO|
WW|||adpropero, adproperavi|adpropero, adproperatum
->appropinquatio|adpropinquatio
LS|adpropinquatio|adprŏpinquātĭo|ōnis|f.||an approach, drawing near|appropinquatio|(
GG|adpropinquatio|adprŏpinquātĭo|ōnis|f.|subst.|approche|appropinquatio|adp-
GJ|adpropinquatio|adpropinquātĭo|ōnis, f.|action de s'approcher, approche, proximité, voisinage.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->approximo|adproximo
LS|adproximo|adproxĭmo|āre||v. a.|to be, draw near to, approach|approximo|(
GG|adproximo|adproxĭmo|āre||intr.|int., approcher|approximo|adp-
GJ|adproximo|adproxĭmo|āre|- intr. - Tert. approcher.
Ge|
FG|
Lw|
YO|
PO|
WW|||adproximo, adproximavi|adproximo, adproximatum
->appungo|adpungo
LS|
GG|adpungo|adpungo|ĕre|||piquer / marquer d'un point ou d'un signe critique|appungo|adp-
GJ|adpungo|adpungo|ĕre|- 1 - piquer. - 2 - marquer d'un point ou d'un signe critique.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->acquisitio|adquisitio
LS|adquisitio|adquīsītĭo|||||adquiesco|0
GG|adquisitio|adquīsītĭo|ōnis|f.|subst.|accroissement, augmentation|acquisitio|adq-
GJ|adquisitio|adquīsītĭo|ōnis, f.|- 1 - acquisition. - 2 - accroissement, augmentation.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->arrepticius|adrepticius
LS|adrepticius|adreptīcĭus|a, um||adj.|seized, inspired|arrepticius|(
GG|adrepticius|adreptīcĭus|a, um||adj.|saisi, possédé [du démon]|adrepticius|adreptīcĭus
GJ|adrepticius|adreptīcĭus|a, um|saisi, possédé [du démon].
Ge|
FG|
Lw|
YO|
PO|
WW||||
->arrogatio|adrogatio
LS|adrogatio|adrŏgātĭo|ōnis|f.||a taking to, the full adoption, in the, in the presence of the, later of the emperor himself, of a, in the place of a child|arrogatio|(
GG|adrogatio|adrŏgātĭo|ōnis|f.|subst.|arrogation, adoption d'une personne sui juris, c.-à-d. qui n'est pas sous la puissance paternelle|adrogatio|adrŏgātĭo
GJ|adrogatio|adrŏgātĭo|ōnis, f.|arrogation, adoption d'une personne sui juris, c.-à-d. qui n'est pas sous la puissance paternelle.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->arrogator|adrogator
LS|adrogator|adrŏgātor|ōris|m.||he that adopts|arrogator|(
GG|adrogator|adrŏgātŏr|ōris|m.|subst.|qui adopte|adrogator|adrŏgātŏr
GJ|adrogator|adrŏgātŏr|ōris, m.|qui adopte.
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|adrogatus
LS|
GG|adrogatus|adrŏgātus|a, um||part.|part. de adrogo.|adrogatus|adrŏgātus
GJ|adrogatus|adrŏgātus|a, um|part. de adrogo.
Ge|
FG|adrogatus|adrogatus a um, participe de adrogo.
Lw|
YO|
PO|
WW||||
->arroro|adroro
LS|adroro|adrōro|āre, 1||v. n.|to moisten, bedew|arroro|(
GG|adroro|adrōro|āre|||arroser|adroro|adrōro
GJ|adroro|adrōro|āre|- tr. - arroser.
Ge|
FG|
Lw|
YO|
PO|
WW|||adroro, adroravi|adroro, adroratum
-|adrosus
LS|adrosus|adrōsus|a, um||||arrosus|(
GG|adrosus|adrōsus|a, um||part.|part. de adrodo.|adrosus|adrōsus
GJ|adrosus|adrōsus|a, um|part. passé de adrodo; rongé autour.
Ge|
FG|adrosus|adrosus a um, participe de adrodo.
Lw|
YO|
PO|
WW||||
->arrotans|adrotans
LS|adrotans|adrŏtans|antis||adj.|in a winding, circular motion, turning, wavering|arrotans|(
GG|adrotans|adrŏtans|tis|||qui tourne autour, hésitant|adrotans|adrŏtans
GJ|adrotans|adrŏtans|antis|qui tourne autour, hésitant.
Ge|
FG|
Lw|
YO|
PO|
WW||adrotans, adrotantis||
-|adscendens
LS|adscendens|adscendens|entis||P. a.|a machine for ascending, a scaling-ladder|ascendens|(
GG|
GJ|adscendens|adscendens|entis|part. prés. de ascendo.
Ge|
FG|
Lw|
YO|
PO|
WW||adscendens, adscendentis||
->ascensio|adscensio
LS|adscensio|adscensĭo|ōnis|f.||an ascending, ascent|ascensio|(
GG|adscensio|adscensĭo|ōnis|m.|subst.|action de monter, ascension|ascensio|adsc-
GJ|adscensio|adscensio|ōnis, f.|- 1 - ascension, action de monter. - 2 - montée graduelle, élévation graduelle, progrès. - 3 - montée.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->ascripticius|adscripticius
LS|adscripticius|adscriptīcĭus|a, um||adj.|enrolled, received in any community, as citizen, soldier, slaves bound to the soil, and transferred with it from one possessor to another|ascripticius|(
GG|adscripticius|adscriptīcĭus|a, um||adj.|récemment inscrit sur les rôles|ascripticius|adsc-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->ascriptio|adscriptio
LS|adscriptio|adscriptĭo|ōnis|f.||an addition in writing|ascriptio|(
GG|adscriptio|adscriptĭo|ōnis|f.|subst.|addition [par écrit] / inscription sur la liste des citoyens|ascriptio|adsc-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->ascriptivus|adscriptivus
LS|adscriptivus|adscriptīvus|a, um||adj.|enrolled as a, supernumerary, soldier|ascriptivus|(
GG|adscriptivus|adscriptīvus|a, um||adj.|surnuméraire, supplémentaire [soldat]|ascriptivus|adscr-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->ascriptor|adscriptor
LS|adscriptor|adscriptor|ōris|m.||he who willingly subscribes, his name, he who subscribes to, agrees to, approves any thing|ascriptor|(
GG|adscriptor|adscriptŏr|ōris|m.|subst.|celui qui ajoute sa signature en signe d'approbation, qui contresigne, partisan, soutien|ascriptor|adsc-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|adsectatus
LS|
GG|adsectatus|adsectātus|a, um||part.|part. de adsector.|adsectatus|adsectātus
GJ|adsectatus|adsectātus|a, um|part. de adsector.
Ge|
FG|adsectatus|adsectatus (ass-) a um, participe de adsector.
Lw|
YO|
PO|
WW||||
->assecue|adsecue
LS|
GG|adsecue|adsĕcŭē|||adv.|adv., en suivant de près, pas à pas|adsecue|adsĕcŭē
GJ|adsecue|adsĕcŭē|adv.|en suivant de près, pas à pas.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->assecutio|adsecutio
LS|
GG|adsecutio|adsĕcūtio|ōnis|f.|subst.|succession / action d'acquérir|adsecutio|adsĕcūtio
GJ|adsecutio|adsĕcūtĭo|ōnis, f.|- 1 - succession. - 2 - action d' acquérir.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->assecutor|adsecutor
LS|adsecutor|adsĕcūtor|ōris|m.||an attendant|assecutor|(
GG|adsecutor|adsĕcūtŏr|ōris|m.|subst.|qui accompagne|adsecutor|adsĕcūtŏr
GJ|adsecutor|adsĕcūtŏr|ōris, m.|qui accompagne.
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|adsecutus
LS|
GG|adsecutus|adsĕcūtus|a, um||part.|part. de adsequor.|adsecutus|adsĕcūtus
GJ|adsecutus|adsĕcūtus|a, um|part. de adsequor.
Ge|
FG|adsecutus|adsecutus (ass-) a um, participe de adsequor.
Lw|
YO|
PO|
WW||||
->assedo|adsedo
LS|
GG|adsedo|adsĕdo|ōnis|m.|subst.|assesseur|adsedo|adsĕdo
