abruptus|abruptus|||adj.|broken off, cut off, steep, precipitous, inaccessible, into the abyss, rugged, defiantly||||abruptus
abs|abs|see a.|||:||||abs
abscedo|abs-cēdō|cessī, cessus, ere|||to give way, go off, move away, retire, withdraw, depart:||||abscedo
abscessio|abscessiō|ōnis|f||diminution (once)||||abscessio
abscessus|abscessus|ūs|m||a going away, departure, absence:||||abscessus
abscido|abscīdō|cīdī, cīsus, ere|||to cut off, hew off, to cut off, separate, divide, To cut off, take away violently, because I had broken off abruptly||||abscido
abscindo|ab-scindō|scidī, scissus, ere|||to tear off, break away, break off:||||abscindo
abscisio|abscīsiō|ōnis|f||in rhet., a breaking off, interruption||||abscisio
abscissus|abscissus||||P. of abscindo.||||abscissus
abscisus|abscīsus|||adj.|cut off, severed, steep, precipitous||||abscisus
abscondite|absconditē|||adv.|obscurely, abstrusely, profoundly||||abscondite
absconditus|absconditus|||adj.|concealed, secret, hidden, not hard to see or to grasp||||absconditus
abscondo|abs-condō|condī, conditus, ere|||to put out of sight, hide, conceal:||||abscondo
absens|absēns|entis||adj.|absent, away from you, whether you are at home or not, in our absence, although they did not appear as competitors, an absent person||||absens
absentia|absentia|ae|f||absence||||absentia
absimilis|ab-similis|e||adj.|unlike (once):||||absimilis
absisto|ab-sistō|stitī, &mdash;, ere|||to withdraw from, depart, go away:||||absisto
absolute|absolūtē|||adv.|completely, perfectly, fully, absolutely, purely||||absolute
absolutio|absolūtiō|ōnis|f||an acquittal, would have made the acquittal complete.&mdash; Perfection, completeness||||absolutio
absolutus|absolūtus|||adj.|complete, finished, Unconditional||||absolutus
absolvo|ab-solvō|solvī, solūtus, ere.&mdash;Fig.|||to set free, release, discharge:||||absolvo
absonus|ab-sonus|||adj.|deviating from the right tone, discordant, inharmonious:||||absonus
absorbeo|ab-sorbeō|buī, ptus, ēre|||to swallow down, devour:||||absorbeo
absp|absp-|see asp-.|||||||absp-
absque|absque||||prop., apart from, away from;||||absque
abstemius|abstēmius|||adj.|abstaining from drink, temperate, abstemious, moderate:||||abstemius
abstergeo|abs-tergeō|tersī, tersus, ēre|||to wipe off, cleanse by wiping:||||abstergeo
absterreo|abs-terreō|ruī, ritus, ēre|||to frighten off, drive away:||||absterreo
abstinens|abstinēns|tis||adj.|abstinent, temperate, moderate, chaste, continent||||abstinens
abstinenter|abstinenter|||adv.|unselfishly, modestly (rare); versatus.||||abstinenter
abstinentia|abstinentia|ae|f||abstinence, starvation, Self-restraint, integrity, in the case of Papinius||||abstinentia
abstineo|abstineō|tinuī|||to keep back, keep off, hold back, suppress, by not keeping your hands off, restrain, refrained from exercising against them the rights of war, se, to keep oneself from, refrain, abstain, to refrain, abstain, hold his peace||||abstineo
absto|ab-stō|&mdash;, āre|||to stand off (rare):||||absto
abstractus|abstractus||||P. of abstraho.||||abstractus
abstraho|abs - trahō|trāxī, tractus, ere|||to drag away, draw off, pull away, detach:||||abstraho
abstrudo|abs-trūdō|trūsī, trūsus, ere|||to thrust away, push into concealment, hide, conceal:||||abstrudo
abstrusus|abstrūsus|||adj.|hidden, concealed, secret, reserved, more profound||||abstrusus
abstuli|abstulī||||of aufero.||||abstuli
absum|ab-sum|āfuī|||abesse, in general, to be away from, be absent:||||absum
absumo|ab-sūmō|sūmpsī, sūmptus, ere|||to take away, diminish, use up, consume, exhaust:||||absumo
absurde|absurdē|||adv.|inharmoniously, Absurdly, irrationally||||absurde
absurdus|ab-surdus|||adj.|out of tune, discordant, harsh:||||absurdus
abundans|abundāns|tis||adj.|of rivers, etc., overflowing, full, possessing in abundance, rich, abounding, overflowing, Existing in abundance, abundant, more than enough||||abundans
abundanter|abundanter|||adv.|fully, copiously||||abundanter
abundantia|abundantia|ae|f||plenty, fullness, abundance, the same as when they were rich.&mdash;Profusion, lavishness||||abundantia
abunde|abundē|||adv.|in profusion, more than enough, abundantly, amply, there is more than enough||||abunde
abundo|ab-undō|āvi, &mdash;, āre|||to overflow, stream over, of a river or lake:||||abundo
abusio|abūsiō|ōnis|f||the improper use of a word||||abusio
abusus|abūsus|ūs|m||an abusing, using up||||abusus
abutor|ab - ūtor|ūsus, ī||dep.|to use up, consume, spend, exhaust:||||abutor
Abydenus|Abȳdēnus|||adj.|of Abydus, a town in Mysia:||||Abydenus
ac|ac|see atque.|||:||||ac
Academia|Acadēmīa|ae|f||the gymnasium near Athens, where Plato taught.||||Academia
Academica|Acadēmica|ōrum|n||the title of Cicero's treatise on the Academic philosophy.||||Academica
Academicus|Acadēmicus|ī|m||an Academic philosopher;||||Academicus2
Academicus|Acadēmicus|||adj.|of the Academy, Academic:||||Academicus1
Academus|Acadēmus|ī|m||||||Academus
acalanthis|acalanthis|idis|f||.||||acalanthis
acanthus|acanthus|ī|m||||||acanthus
Acarnanicus|Acarnānicus|||adj.|||||Acarnanicus
Acbarus|Acbarus (Agbarus)|ī|m||e:||||Acbarus
accedo|accēdō or ad-cēdō|cessī|||to go to, come to, come near, draw near, approach, enter:||||accedo
acceleratio|accelerātiō|ōnis|f||a hastening||||acceleratio
accendo|accendō, or ad - cendō|cendī, cēnsus, ere|||to kindle, set on fire, light, flashed up, bundles of twigs attached to the horns, the noonday heat, to kindle, inflame, fire, excite, arouse, stir, awaken, stimulate, provoke, encourage, exasperate, embitter, you inflame my desire the more, to war||||accendo
accenseo|accēnseō|&mdash;, cēnsus, ēre|||to reckon to, count among (rare):||||accenseo
accensi|accēnsī|orum|m||unarmed supernumeraries of a legion, ready to fill vacancies:||||accensi
accensus|accēnsus|ī|m||an attendant of a magistrate, apparitor, orderly||||accensus1
accensus|accēnsus||||P. of accendo.||||accensus2
acceptio|acceptiō|ōnis|f||a taking, receiving, accepting||||acceptio
accepto|acceptō|āvī, ātus, āre|||to take, receive||||accepto
acceptum|acceptum|ī|n||the receipt, the credit side, to carry to the credit side, pass to one's credit, ledger, from the receipts and payments||||acceptum
acceptus|acceptus|||adj.|welcome, acceptable, pleasing, dear||||acceptus
accerso|accersō|see arcesso.|||e:||||accerso
accessio|accessiō|ōnis|f||a coming to, approach, by his personal appeals, visits, an increase, enlargement, addition, an addition, augment, contribution, reinforcement, appendix, by way of addition, an addition to a tax, you added the murder of Pleuratus to that of Plator||||accessio
accessus|accessus|ūs|m||a coming near, approach, was escorted by, a way of approach, passage, entrance, for the ships||||accessus
Accianus|Acciānus|||adj.|of the poet Lu. Accius||||Accianus
accido|accidō|cidī, &mdash;, ere|||to fall upon, fall to, reach by falling, to arrive, come, had come unexpectedly, that his attack might be a surprise, and more formidable, to fall before, fall at the feet, to strike, reach, come, reach, to come to the ears, come, be heard, be raised, To befit, become, suit, was true of you, to come to pass, happen, occur, fall out, take place, befall, the fate of the conquered, if any calamity occur, thus it happened, that, or, if anything should happen to one, die, if C&oelig;sar should put him to death, if the Romans are destroyed, To end, result, turn out, disappoint us||||accido1
accido|accīdō|cīdī, cīsus, ere|||to cut, cut at, cut into, cut down, fell, with shorn hair, to consume, to impair, weaken, shatter||||accido2
accingo|accingō|nxī, nctus, ere|||to gird to, gird on, bind on, put on with a girdle, gird round:||||accingo
accio|acciō (ad-c-)|cīvī, cītus, īre|||to call, summon, send for, invite:||||accio
accipio|accipiō|cēpī, ceptus, ere|||to take without effort, receive, get, accept, to take, accept, take into possession, receive, inherit, by the hands of, To admit, let in, to citizenship, To take under protection, wedded, To receive as a guest, entertain, welcome, into your confidence, to entertain, deal with, treat, to collect, P., received, collected, to credit, give credit for, entered to the credit of inheritance, owe to bequests, acknowledge that he owes his life, to discharge the bond, acknowledge payment of the sponsio, to receive, get, be the recipient of, take, submit to, suffer, bear, has felt the power of, take this risk, to admit, take in, receive, open to, the impression I received, to take, hear, attend to, perceive, understand, learn, listen to, as I have heard, have not heard of them, understood, had eagerly welcomed news of both, take, exchange solemn assurances, to take, interpret, explain, to regard as an insult, being exaggerated, take kindly, with displeasure, to regard a thing as an omen, accept the omen, to receive as a, favorable, omen, omen, I accept, the omen, and, To accept, be satisfied with, approve, Pam, I allow it, exactly so, To take upon, undertake, assume, undergo, in which ... succeeds to the command, stand the trial, agree for Q. to stand trial||||accipio
accipiter|accipiter|tris|m||a bird of prey, falcon, hawk||||accipiter
accisus|accīsus|||adj.|impaired, ruined, disordered, overthrown, destroyed:||||accisus2
accitus|accītus|ūs|m||a summons, call, sing., at his summons||||accitus2
acclamatio|acclāmātiō (ad-c-)|ōnis|f||a calling, shout, exclamation||||acclamatio
acclamo|acclāmō (ad-c-)|āvī, ātus, āre|||to call to, shout at, exclaim:||||acclamo
acclaro|acclārō (ad-c-)|āvī, &mdash;, āre|||to make clear, reveal, disclose||||acclaro
acclinatus|acclīnātus (ad-c-)|||adj.|recumbent, curved, prostrate on||||acclinatus
acclinis|acclīnis (ad-c-)|e||adj.|leaning on, inclined to, inclined, disposed to||||acclinis
acclino|acclīnō (ad-c-)|āvī, ātus, āre|||to cause to lean on, stay upon, se, inclined||||acclino
acclivis|acclīvis (ad-c-)|e||adj.|up-hill, ascending, steep, sloping in knolls||||acclivis
acclivitas|acclīvitās|ātis|f||an ascent, rising grade, acclivity||||acclivitas
acclivus|acclīvus|see acclivis.|||.||||acclivus
accola|accola|ae|m||he who dwells near, a neighbor, tributaries||||accola
accolo|accolō (ad-c-)|coluī, &mdash;, ere|||to dwell near, be a neighbor to:||||accolo
accommodate|accommodātē|||adv.|fitly, suitably, in accordance||||accommodate
accommodatio|accommodātiō (adc-)|ōnis|f||an adjustment, accommodation, Complaisance, regard||||accommodatio
accommodatus|accommodātus (adc-)|||adj.|fitted, fit, suitable, adapted, appropriate to, in accordance with, acceptable, useful||||accommodatus
accommodo|accommodō (ad-c-)|āvī, ātus, āre|||to fit, adapt, put on, apply:||||accommodo
accommodus|accommodus (ad-c-)|||adj.|fit for, suitable for:||||accommodus
accredo|accrēdō (ad-c-)|crēdidī, &mdash;, ere, 3|||to accord belief, believe fully:||||accredo
accresco|accrēscō (ad-c-)|crēvī, crētus, ere|||to grow progressively, increase, become greater:||||accresco
accretio|accrētiō|ōnis|f||an increase, the waxing||||accretio
accubatio|accubātiō|collat. form of accubitio.|||||||accubatio
accubitio|accubitiō|ōnis|f||a lying, reclining||||accubitio
accubo|accubō (ad-c-)|&mdash;, āre|||to lie at, lie beside, stands near, recline||||accubo
accumbo|accumbō (ad-c-)|cubuī, cubitum, ere|||to lay oneself down, lie beside, to recline at table||||accumbo
accumulate|accumulātē (ad-c-)|||adv.|abundantly, copiously||||accumulate
accumulator|accumulator (ad-c-)|ōris|m||one who heaps up:||||accumulator
accumulo|accumulō (ad-c-)|āvī, ātus, āre|||to heap up, increase by heaping, amass:||||accumulo
accurate|accūrātē|||adv.|carefully, precisely, exactly, nicely, you might at least have taken pains||||accurate
accuratio|accūrātiō|ōnis|f||exactness, carefulness||||accuratio
accuratus|accūrātus (ad-c-)|||adj.|carefully wrought, elaborate, finished, exact||||accuratus
accuro|accūrō (ad-c-)|āvī, ātus, āre|||to give close attention to, be careful:||||accuro
accurro|accurrō (ad-c-)|currī or cucurrī, cursus, ere|||to run to, hasten to:||||accurro
accursus|accursus (ad-c-)|ūs|m||a running to, coming to:||||accursus
accusabilis|accūsābilis (ad-c-)|e||adj.|that may be prosecuted, criminal||||accusabilis
accusatio|accūsātiō|ōnis|f||a formal complaint, indictment, accusation, prosecution, must contain a charge, devise, abandon, to defend against, a complaint, accusation, against Hannibal, the office of prosecutor, The bill of indictment, accuser's speech, the orations against Verres||||accusatio
accusator|accūsātor|ōris|m||the accuser, prosecutor, plaintiff, an accuser, betrayer||||accusator
accusatorie|accūsātōriē|||adv.|as a prosecutor, in an accusing manner||||accusatorie
accusatorius|accūsātōrius|||adj.|of a prosecutor, relating to a prosecution, making a complaint||||accusatorius
accuso|accūsō|āvī, ātus, āre|||to call to account, make complaint against, reproach, blame, accuse, Supin. acc., to blame, find fault with, throw the blame on, to call to account, bring to trial, prosecute, accuse, arraign, indict, for previous offences, prosecuted capitally, of treason in the matter of Paros||||accuso
acer|ācer|ācris, ācre||adj.|sharp, piercing, penetrating, cutting, irritating, pungent, no longer glowing, keener look, fierce, irritated, severe, impetuous, violent, vehement, consuming, bitter, subtle, acute, penetrating, sagacious, shrewd, ready, active, ardent, eager, spirited, keen, brave, zealous, spirited charioteer, Violent, hasty, quick, hot, passionate, fierce, severe, enraged, angry, more effectually than severity, most critical, keen, excessive, impetuous, an irresistible impulse, more formidable||||acer2
acer|acer|eris|n||the maple-tree, the wood of the maple-tree, maple||||acer1
acerbe|acerbē|||adv.|bitterly, act., harshly, severely, cruelly, sharply, inimically, painfully, grievously, with sorrow, too severely||||acerbe
acerbitas|acerbitās|ātis|f||bitterness, harshness, sourness, public rewards bringing also bitter trials, harshness, bitterness, rigor, severity, hostility, hatred, the poison of malice, an object of bitter hatred. &mdash;Plur., grief, sorrow, pain, anguish, affliction||||acerbitas
acerbo|acerbō|&mdash;, āre|||to aggravate, make worse||||acerbo
acerbus|acerbus|||adj.|harsh, bitter, unripe, harsh, sharp, bitter, of harsh voice, Neut. plur, rough, harsh, violent, rigorous, crabbed, severe, repulsive, hard, morose, morose, Neut. plur, chafing with rage, premature, crude, unripe, Grievous, bitter, severe, oppressive, burdensome, distressing, a rigid conscription, all the bitterness||||acerbus
acernus|acernus|||adj.|of maple wood||||acernus
acerra|acerra|ae|f||a casket for incense||||acerra
acerrime|ācerrimē|||adv.|of acriter.||||acerrime
acersecomes|acersecomēs|ae|m||unshorn, i. e. ever youthful.||||acersecomes
acervalis|acervālis|e||adj.|a conclusion by accumulation, sorites||||acervalis
acervatim|acervātim|||adv.|by heaps, in heaps, BA, briefly, concisely, summarily||||acervatim
acervo|acervō|āvī, &mdash;, āre|||to heap up, pile up, to multiply||||acervo
acervus|acervus|ī|m||a mass of similar objects, pile, heap:||||acervus
acesco|acēscō|&mdash;, &mdash;, ere|||to turn sour, sour||||acesco
acetum|acētum|ī|n||vinegar, spoiled, wit, shrewdness||||acetum
Achaei|Achaeī|ōrum|m||the inhabitants of the district of Achaia.||||Achaei
Achaemenes|Achaemenēs|īs|m||an ancestor of the kings of Persia:||||Achaemenes
Achaemenius|Achaemenius|||adj.|Persian, Parthian||||Achaemenius
Achaias|Achāias||f||a Greek woman||||Achaias
Achaicus|Achāicus|||adj.|Achaean, Grecian:||||Achaicus
Achais|Achāis|idis or idos||adj.|Grecian:||||Achais
Achaius|Achāius|||adj.|Grecian:||||Achaius
Acharnanus|Acharnānus|||adj.|of Acharnae (an Attic deme),||||Acharnanus
Acheloius|Achelōius|||adj.|of the river Achelous:||||Acheloius
Acheron|Acherōn|tis|m||a river of the lower world.||||Acheron
Acheruns|Acherūns|untis|m||a river of the lower world.||||Acheruns
Acherusius|Acherūsīus (-ūnsius)|||adj.|of the Acheron in Bruttium:||||Acherusius
Achilles|Achillēs|is|m||a Grecian hero.||||Achilles
Achilleus|Achillēus|||adj.|of Achilles||||Achilleus
Achivus|Achīvus|||adj.|Achaean, Grecian, O.||||Achivus
Acidalia|Acīdalia|ae|f||an epithet of Venus, from the fountain Acidalia in Boeotia, V.||||Acidalia
acidus|acidus|||adj.|sour, acid, tart, sharp, pungent, disagreeable, to the two||||acidus
acies|aciēs|ēī|f||a sharp edge, point, cutting part, the edge, efficiency, sharpness of vision, keen look, the sight, Brilliancy, brightness, the pupil of the eye, the eye, the front of an army, line of battle, battle-array, the legion in three ranks, The battle-array, an army in order of battle, two divisions of an army, the van, the rear, a line of fire, A battle, engagement, acuteness, sharpness, force, power, A verbal contest, disputation, discussion, debate||||acies
acinaces|acīnacēs|is|m||a scimitar, short sabre, H., Cu.||||acinaces
acinum|acinum|ī|n||a small berry:||||acinum
acinus|acinus|ī|m||||||acinus
acipenser|acipēnser|eris|m||a sea-fish||||acipenser
aclys|āclys (āclis)|ydis|f||a small javelin with a strap, V.||||aclys
acoenonoetus|acoenonoētus|ī|m||without common-sense, Iu.||||acoenonoetus
aconitum|aconītum (-ton)|ī|n||a poisonous plant, wolf's-bane, aconite, O., V.&mdash;Poet., poison:||||aconitum
acquiesco|acquiēscō, acquīrō|see ad-qui-.|||., POISON:||||acquiesco
Acragas|Acragas|antis|m||Agrigentum, V.||||Acragas
acratophoron|acrātophoron (-um)|ī|n||a vessel for unmixed wine.||||acratophoron
acredula|acrēdula|ae|f||an unknown animal.||||acredula
acriculus|ācriculus|||adj.|irritable||||acriculus
acrimonia|ācrimōnia|ae|f||sharpness, pungency, severity, acrimony, energy||||acrimonia
Acrisioneus|Acrisiōnēus|||adj.|of Acrisius, V., O.||||Acrisioneus
Acrisioniades|ācrisiōniadēs|ae|n||a descendant of Acrisius, i. e. Perseus, O.||||Acrisioniades
Acrisius|ācrisius|ī|m||a king of Argos, V., O.||||Acrisius
acriter|ācriter|||adv.|sharply, fiercely, keenly, keenly, sharply, accurately, has a keener eye for, zealously, eagerly, earnestly, passionately, furiously, severely, the fire of passion||||acriter
acroama|acroāma|atis|n||an entertainment for the ear;||||acroama
acroasis|acroāsis|is|f||prop., a hearing; hence, a discourse, lecture, C.||||acroasis
Acroceraunia|Acroceraunia|ōrum|n||a rocky promontory of Epirus||||Acroceraunia
acta|acta|ae|f||the sea-shore, sea-beach:||||acta
Actaei|Actaeī|ōrum|m||the people of Attica||||Actaei
Actaeon|Actaeōn|onis|m||grandson of Cadmus||||Actaeon
Actaeus|Actaeus|||adj.|prop. of Acte (the coast of Attica).||||Actaeus
Actiacus|Actiacus|||adj.|of Actium:||||Actiacus
Actias|Actias|adis||adj.|Athenian||||Actias
actio|āctiō|ōnis|f||a putting in motion, a performing, doing, action, in deeds, a rendering, a rendering, declamation, Public acts, official conduct, achievements, make their policy popular, a measure, A suit at law, action, process, to bring suit, this form of action, Permission to bring a suit, at the second trial||||actio
actito|āctitō|āvī, &mdash;, āre|||to conduct often, be engaged in, act in||||actito
Actium|Actium|ī|n||a promontory of Acarnania||||Actium
Actius|Actius|||adj.|of Actium:||||Actius
actor|āctor|ōris|m||a driver, a shepherd, An agent, doer, performer, actor, worker and counsellor, manager of public property, an accuser, complainant, plaintiff, prosecutor, official prosecutor.&mdash;He who delivers an oration, the speaker, A player, actor||||actor
actuaria|āctuāria|ae|f||a swift boat||||actuaria
actuariola|āctuāriola|ae|f||a row-boat, barge||||actuariola
actuarius|āctuārius|||adj.|easily driven, swift||||actuarius
actum|āctum|ī|n||a deed, transaction, proposition, decree, law, a register of public events, records, journal||||actum
actuose|āctuōsē|||adv.|passionately, eagerly||||actuose
actuosus|āctuōsus|||adj.|full of life, active||||actuosus
actus|āctus|ūs|m||a driving, impulse, setting in motion, with a mighty impulse, a right of way, right to drive through, a recital, delivery, expressive gestures, A part of a play, act, this crowning achievement, to see done||||actus2
actutum|āctūtum|||adv.|immediately, forthwith:||||actutum
aculeatus|aculeātus|||adj.|with a sting, stinging, sharp, Cunning, subtle||||aculeatus
aculeus|aculeus|ī|m||a sting, a point, a sting, spur, goad||||aculeus
acumen|acūmen|inis|n||a point, united in a tapering tail, acuteness, keenness, sharpness, tricks, pretences||||acumen
acuo|acuō|uī, ūtus, ere|||to sharpen, whet, point, make sharp, to sharpen, exercise, practise, to sharpen, quicken, arouse, discipline, improve, will make them keen, To stimulate, spur on, stir, arouse, incite, encourage, kindle, To increase, embitter, strengthen, exasperate||||acuo
acus|acus|ūs|f||a needle, to embroider||||acus
acute|acūtē|||adv.|sharply, shrilly, in a high key, shrewdly, with discernment, pointedly||||acute
acutulus|acūtulus|||adj.|rather keen||||acutulus
acutum|acūtum|||adv.|see acutus.||||acutum
acutus|acūtus|||adj.|sharpened, pointed, sharp, cutting, pointed, sharp, pungent, shrill, highest treble, shrill, oppressive, violent, violent calamities, shrilly, keen, sharp, rigid censoriousness, keen, acute, discerning, penetrating, intelligent, sagacious, cunning, requiring a keen mind, keenly||||acutus
ad|ad||||to, toward, more inclined to, to or on the right or left, to, toward, he approaches the city, it is added to the province, to the temple of, to write one a letter, to give a letter to one, to answer, to dedicate a book to one, to, addressed to, to the vicinity of, to the neighborhood of, approach, against, was fought out on foot, to, even to, all the way to, near to, by, at, close by, at hand, at my house, among, in the judgment of, lapis||||ad
adactio|adāctiō|ōnis|f||a compelling, exaction||||adactio
adactus|adāctus||||P. of adigo.||||adactus
adaeque|ad-aequē|||adv.|in like manner, so also||||adaeque
adaequo|ad-aequō|āvī, ātus, āre|||to make equal, equalize, level with:||||adaequo
adamanteus|adamantēus|||adj.|hard as steel, adamantine, not to be broken||||adamanteus
adamantinus|adamantinus|||adj.|hard as steel, inflexible:||||adamantinus
adamas|adamās|antis|m||adamant, hardest iron, steel:||||adamas
adamo|ad-amō|āvī, ātus, āre|||to fall in love with, conceive desire for, desire eagerly:||||adamo
adaperio|ad-aperiō|eruī, ertus, īre|||to throw open, open wide, lay open:||||adaperio
adapertilis|adapertilis|e||adj.|that may be opened||||adapertilis
adapertus|adapertus|||adj.|open, wide open||||adapertus
adaquor|ad-aquor|&mdash;, ārī||dep.|to obtain water, fetch water (once):||||adaquor
adaugeo|ad-augeō|auxī, auctus, ēre|||to increase by adding, augment:||||adaugeo
adaugesco|adaugēscō|&mdash;, &mdash;, ere|||to grow, increase||||adaugesco
adbibo|ad-bibō|bibī, &mdash;, ere|||to take in by drinking:||||adbibo
adc|adc-|see acc-.|||⍌㘰⍌吐ඟ||||adc-
addenseo|ad - dēnseō|&mdash;, &mdash;, ēre|||to crowd together:||||addenseo
addenso|ad-dēnsō|&mdash;, &mdash;, āre, in some edd. of V. for addenseo.|||eagerly:||||addenso
addico|ad - dīcō|dīxī, dictus, ere|||to give assent.||||addico
