abolesco|abolesco|abolēscō| olēvī, &mdash;, ere|||to decay gradually, vanish, disappear, die out |||
abolitio|abolitio|abolitiō| ōnis|f||an abolition, An annulling |||
abolla|abolla|abolla| ae|f|| a mantle, cloak, |||
abominor|abominor|ab-ōminor| ātus, ārī||dep.| orig. of bad omens, to deprecate, wish to nullify: |||
Aborigines|Aborigines|Aborīginēs| um|m||the first ancestors of the Romans |||
abortio|abortio|abortiō| ōnis|f|| the procuring of an untimely birth, abortion: |||
abortivus|abortivus|abortīvus|||adj.| prematurely born: |||
abortus|abortus|abortus| ūs|m|| an untimely birth |||
abrado|abrado|ab-rādō| rāsī, rāsus, ere|||to scrape away, shave off: |||
abreptus|abreptus|abreptus||||P. of abripio. |||
abripio|abripio|abripiō| ripuī, reptus, ere |||to take forcibly away, snatch away, tear from, force off, stolen, shall be dragged, to run away, to dissipate, squander, will snatch away in a lump, to carry off, remove, detach, made unlike him |||
abrogatio|abrogatio|abrogātiō| ōnis|f||repeal |||
abrogo|abrogo|ab-rogō| āvī, ātus, āre, of a law|||to repeal, annul, abrogate: |||
abrotonum|abrotonum|abrotonum (habr-)| ī|n|| an aromatic plant, southern-wood (a medicine), |||
abrumpo|abrumpo|ab-rumpō| rūpī, ruptus, ere|||to break off, break away, tear, rend, burst, sever: |||
abruptio|abruptio|abruptiō| ōnis|f||a breaking off |||
abruptus|abruptus|abruptus|||adj.|broken off, cut off, steep, precipitous, inaccessible, into the abyss, rugged, defiantly |||
abs|abs|abs| see a. |||:|||
abscedo|abscedo|abs-cēdō| cessī, cessus, ere|||to give way, go off, move away, retire, withdraw, depart: |||
abscessio|abscessio|abscessiō| ōnis|f|| diminution (once) |||
abscessus|abscessus|abscessus| ūs|m|| a going away, departure, absence: |||
abscidi2|abscidi|abscidī|||| of abscindo. |||
abscidi1|abscidi|abscīdī|||| of abscīdo. |||
abscido|abscido|abscīdō| cīdī, cīsus, ere |||to cut off, hew off, to cut off, separate, divide, To cut off, take away violently, because I had broken off abruptly |||
abscindo|abscindo|ab-scindō| scidī, scissus, ere|||to tear off, break away, break off: |||
abscisio|abscisio|abscīsiō| ōnis|f|| in rhet., a breaking off, interruption |||
abscissus|abscissus|abscissus||||P. of abscindo. |||
abscisus|abscisus|abscīsus|||adj.|cut off, severed, steep, precipitous |||
abscondite|abscondite|absconditē|||adv.|obscurely, abstrusely, profoundly |||
absconditus|absconditus|absconditus|||adj.|concealed, secret, hidden, not hard to see or to grasp |||
abscondo|abscondo|abs-condō| condī, conditus, ere|||to put out of sight, hide, conceal: |||
absens|absens|absēns| entis||adj.|absent, away from you, whether you are at home or not, in our absence, although they did not appear as competitors, an absent person |||
absentia|absentia|absentia| ae|f||absence |||
absimilis|absimilis|ab-similis| e||adj.| unlike (once): |||
absisto|absisto|ab-sistō| stitī, &mdash;, ere|||to withdraw from, depart, go away: |||
absolute|absolute|absolūtē|||adv.|completely, perfectly, fully, absolutely, purely |||
absolutio|absolutio|absolūtiō| ōnis|f||an acquittal, would have made the acquittal complete.&mdash; Perfection, completeness |||
absolutus|absolutus|absolūtus|||adj.|complete, finished, Unconditional |||
absolvo|absolvo|ab-solvō| solvī, solūtus, ere.&mdash;Fig.|||to set free, release, discharge: |||
absonus|absonus|ab-sonus|||adj.| deviating from the right tone, discordant, inharmonious: |||
absorbeo|absorbeo|ab-sorbeō| buī, ptus, ēre|||to swallow down, devour: |||
absp-|absp|absp-| see asp-. ||||||
absque|absque|absque|||| prop., apart from, away from; |||
abstemius|abstemius|abstēmius|||adj.| abstaining from drink, temperate, abstemious, moderate: |||
abstergeo|abstergeo|abs-tergeō| tersī, tersus, ēre|||to wipe off, cleanse by wiping: |||
absterreo|absterreo|abs-terreō| ruī, ritus, ēre|||to frighten off, drive away: |||
abstinens|abstinens|abstinēns| tis||adj.|abstinent, temperate, moderate, chaste, continent |||
abstinenter|abstinenter|abstinenter|||adv.| unselfishly, modestly (rare); versatus. |||
abstinentia|abstinentia|abstinentia| ae|f||abstinence, starvation, Self-restraint, integrity, in the case of Papinius |||
abstineo|abstineo|abstineō| tinuī |||to keep back, keep off, hold back, suppress, by not keeping your hands off, restrain, refrained from exercising against them the rights of war, se, to keep oneself from, refrain, abstain, to refrain, abstain, hold his peace |||
absto|absto|ab-stō| &mdash;, āre|||to stand off (rare): |||
abstractus|abstractus|abstractus||||P. of abstraho. |||
abstraho|abstraho|abs - trahō| trāxī, tractus, ere|||to drag away, draw off, pull away, detach: |||
abstrudo|abstrudo|abs-trūdō| trūsī, trūsus, ere|||to thrust away, push into concealment, hide, conceal: |||
abstrusus|abstrusus|abstrūsus|||adj.|hidden, concealed, secret, reserved, more profound |||
abstuli|abstuli|abstulī|||| of aufero. |||
absum|absum|ab-sum| āfuī ||| abesse, in general, to be away from, be absent: |||
absumo|absumo|ab-sūmō| sūmpsī, sūmptus, ere|||to take away, diminish, use up, consume, exhaust: |||
absurde|absurde|absurdē|||adv.|inharmoniously, Absurdly, irrationally |||
absurdus|absurdus|ab-surdus|||adj.|out of tune, discordant, harsh: |||
abundans|abundans|abundāns| tis||adj.|of rivers, etc., overflowing, full, possessing in abundance, rich, abounding, overflowing, Existing in abundance, abundant, more than enough |||
abundanter|abundanter|abundanter|||adv.|fully, copiously |||
abundantia|abundantia|abundantia| ae|f||plenty, fullness, abundance, the same as when they were rich.&mdash;Profusion, lavishness |||
abunde|abunde|abundē|||adv.|in profusion, more than enough, abundantly, amply, there is more than enough |||
abundo|abundo|ab-undō| āvi, &mdash;, āre|||to overflow, stream over, of a river or lake: |||
abusio|abusio|abūsiō| ōnis|f||the improper use of a word |||
abusus|abusus|abūsus| ūs|m||an abusing, using up |||
abutor|abutor|ab - ūtor| ūsus, ī||dep.| to use up, consume, spend, exhaust: |||
Abydenus|Abydenus|Abȳdēnus|||adj.| of Abydus, a town in Mysia: |||
ac|ac|ac| see atque. |||:|||
Academia|Academia|Acadēmīa| ae|f|| the gymnasium near Athens, where Plato taught. |||
Academica|Academica|Acadēmica| ōrum|n|| the title of Cicero's treatise on the Academic philosophy. |||
Academicus2|Academicus|Acadēmicus| ī|m|| an Academic philosopher; |||
Academicus1|Academicus|Acadēmicus|||adj.| of the Academy, Academic: |||
Academus|Academus|Acadēmus| ī|m|||||
acalanthis|acalanthis|acalanthis| idis|f||.|||
acanthus|acanthus|acanthus| ī|m|||||
Acarnanicus|Acarnanicus|Acarnānicus|||adj.||||
Acbarus|Acbarus|Acbarus (Agbarus)| ī|m||e: |||
accedo|accedo|accēdō or ad-cēdō| cessī ||| to go to, come to, come near, draw near, approach, enter: |||
acceleratio|acceleratio|accelerātiō| ōnis|f||a hastening |||
accendo|accendo|accendō, or ad - cendō| cendī, cēnsus, ere |||to kindle, set on fire, light, flashed up, bundles of twigs attached to the horns, the noonday heat, to kindle, inflame, fire, excite, arouse, stir, awaken, stimulate, provoke, encourage, exasperate, embitter, you inflame my desire the more, to war |||
accenseo|accenseo|accēnseō| &mdash;, cēnsus, ēre|||to reckon to, count among (rare): |||
accensi|accensi|accēnsī| orum|m|| unarmed supernumeraries of a legion, ready to fill vacancies: |||
accensus1|accensus|accēnsus| ī|m||an attendant of a magistrate, apparitor, orderly |||
accensus2|accensus|accēnsus||||P. of accendo. |||
acceptio|acceptio|acceptiō| ōnis|f||a taking, receiving, accepting |||
accepto|accepto|acceptō| āvī, ātus, āre|||to take, receive |||
acceptum|acceptum|acceptum| ī|n||the receipt, the credit side, to carry to the credit side, pass to one's credit, ledger, from the receipts and payments |||
acceptus|acceptus|acceptus|||adj.|welcome, acceptable, pleasing, dear |||
accerso|accerso|accersō|see arcesso. |||e: |||
accessio|accessio|accessiō| ōnis|f||a coming to, approach, by his personal appeals, visits, an increase, enlargement, addition, an addition, augment, contribution, reinforcement, appendix, by way of addition, an addition to a tax, you added the murder of Pleuratus to that of Plator |||
accessus|accessus|accessus| ūs|m||a coming near, approach, was escorted by, a way of approach, passage, entrance, for the ships |||
Accianus|Accianus|Acciānus|||adj.|of the poet Lu. Accius |||
accido1|accido|accidō| cidī, &mdash;, ere |||to fall upon, fall to, reach by falling, to arrive, come, had come unexpectedly, that his attack might be a surprise, and more formidable, to fall before, fall at the feet, to strike, reach, come, reach, to come to the ears, come, be heard, be raised, To befit, become, suit, was true of you, to come to pass, happen, occur, fall out, take place, befall, the fate of the conquered, if any calamity occur, thus it happened, that, or, if anything should happen to one, die, if C&oelig;sar should put him to death, if the Romans are destroyed, To end, result, turn out, disappoint us |||
accido2|accido|accīdō| cīdī, cīsus, ere |||to cut, cut at, cut into, cut down, fell, with shorn hair, to consume, to impair, weaken, shatter |||
accingo|accingo|accingō| nxī, nctus, ere|||to gird to, gird on, bind on, put on with a girdle, gird round: |||
accio|accio|acciō (ad-c-)| cīvī, cītus, īre|||to call, summon, send for, invite: |||
accipio|accipio|accipiō| cēpī, ceptus, ere |||to take without effort, receive, get, accept, to take, accept, take into possession, receive, inherit, by the hands of, To admit, let in, to citizenship, To take under protection, wedded, To receive as a guest, entertain, welcome, into your confidence, to entertain, deal with, treat, to collect, P., received, collected, to credit, give credit for, entered to the credit of inheritance, owe to bequests, acknowledge that he owes his life, to discharge the bond, acknowledge payment of the sponsio, to receive, get, be the recipient of, take, submit to, suffer, bear, has felt the power of, take this risk, to admit, take in, receive, open to, the impression I received, to take, hear, attend to, perceive, understand, learn, listen to, as I have heard, have not heard of them, understood, had eagerly welcomed news of both, take, exchange solemn assurances, to take, interpret, explain, to regard as an insult, being exaggerated, take kindly, with displeasure, to regard a thing as an omen, accept the omen, to receive as a, favorable, omen, omen, I accept, the omen, and, To accept, be satisfied with, approve, Pam, I allow it, exactly so, To take upon, undertake, assume, undergo, in which ... succeeds to the command, stand the trial, agree for Q. to stand trial |||
accipiter|accipiter|accipiter| tris|m||a bird of prey, falcon, hawk |||
accisus2|accisus|accīsus|||adj.| P. of 2 accīdo. |||
accisus1|accisus|accīsus|||| impaired, ruined, disordered, overthrown, destroyed: |||
accitus2|accitus|(accītus| ūs|m||a summons, call, sing., at his summons |||
acclamatio|acclamatio|acclāmātiō (ad-c-)| ōnis|f||a calling, shout, exclamation |||
acclamo|acclamo|acclāmō (ad-c-)| āvī, ātus, āre|||to call to, shout at, exclaim: |||
acclaro|acclaro|acclārō (ad-c-)| āvī, &mdash;, āre |||to make clear, reveal, disclose |||
acclinatus|acclinatus|acclīnātus (ad-c-)|||adj.|recumbent, curved, prostrate on |||
acclinis|acclinis|acclīnis (ad-c-)| e||adj.|leaning on, inclined to, inclined, disposed to |||
acclino|acclino|acclīnō (ad-c-)| āvī, ātus, āre |||to cause to lean on, stay upon, se, inclined |||
acclivis|acclivis|acclīvis (ad-c-)| e ||adj.|up-hill, ascending, steep, sloping in knolls |||
acclivitas|acclivitas|acclīvitās| ātis|f||an ascent, rising grade, acclivity |||
acclivus|acclivus|acclīvus| see acclivis. |||. |||
accola|accola|accola| ae|m||he who dwells near, a neighbor, tributaries |||
accolo|accolo|accolō (ad-c-)| coluī, &mdash;, ere|||to dwell near, be a neighbor to: |||
accommodate|accommodate|accommodātē|||adv.|fitly, suitably, in accordance |||
accommodatio|accommodatio|accommodātiō (adc-)| ōnis|f||an adjustment, accommodation, Complaisance, regard |||
accommodatus|accommodatus|accommodātus (adc-)|||adj.|fitted, fit, suitable, adapted, appropriate to, in accordance with, acceptable, useful |||
accommodo|accommodo|accommodō (ad-c-)| āvī, ātus, āre|||to fit, adapt, put on, apply: |||
accommodus|accommodus|accommodus (ad-c-)|||adj.| fit for, suitable for: |||
accredo|accredo|accrēdō (ad-c-)| crēdidī, &mdash;, ere, 3|||to accord belief, believe fully: |||
accresco|accresco|accrēscō (ad-c-)| crēvī, crētus, ere|||to grow progressively, increase, become greater: |||
accretio|accretio|accrētiō| ōnis|f||an increase, the waxing |||
accubatio|accubatio|accubātiō| collat. form of accubitio. ||||||
accubitio|accubitio|accubitiō| ōnis|f||a lying, reclining |||
accubo|accubo|accubō (ad-c-)| &mdash;, āre |||to lie at, lie beside, stands near, recline |||
accumbo|accumbo|accumbō (ad-c-)| cubuī, cubitum, ere |||to lay oneself down, lie beside, to recline at table |||
accumulate|accumulate|accumulātē (ad-c-)|||adv.|abundantly, copiously |||
accumulator|accumulator|accumulator (ad-c-)| ōris|m||one who heaps up: |||
accumulo|accumulo|accumulō (ad-c-)| āvī, ātus, āre|||to heap up, increase by heaping, amass: |||
accurate|accurate|accūrātē|||adv.|carefully, precisely, exactly, nicely, you might at least have taken pains |||
accuratio|accuratio|accūrātiō| ōnis|f||exactness, carefulness |||
accuratus|accuratus|accūrātus (ad-c-)|||adj.|carefully wrought, elaborate, finished, exact |||
accuro|accuro|accūrō (ad-c-)| āvī, ātus, āre|||to give close attention to, be careful: |||
accurro|accurro|accurrō (ad-c-)| currī or cucurrī, cursus, ere|||to run to, hasten to: |||
accursus|accursus|accursus (ad-c-)| ūs|m|| a running to, coming to: |||
accusabilis|accusabilis|accūsābilis (ad-c-)| e||adj.|that may be prosecuted, criminal |||
accusatio|accusatio|accūsātiō| ōnis|f||a formal complaint, indictment, accusation, prosecution, must contain a charge, devise, abandon, to defend against, a complaint, accusation, against Hannibal, the office of prosecutor, The bill of indictment, accuser's speech, the orations against Verres |||
accusator|accusator|accūsātor| ōris|m||the accuser, prosecutor, plaintiff, an accuser, betrayer |||
accusatorie|accusatorie|accūsātōriē|||adv.|as a prosecutor, in an accusing manner |||
accusatorius|accusatorius|accūsātōrius|||adj.|of a prosecutor, relating to a prosecution, making a complaint |||
accuso|accuso|accūsō| āvī, ātus, āre |||to call to account, make complaint against, reproach, blame, accuse, Supin. acc., to blame, find fault with, throw the blame on, to call to account, bring to trial, prosecute, accuse, arraign, indict, for previous offences, prosecuted capitally, of treason in the matter of Paros |||
acer1|acer|acer| eris|n||the maple-tree, the wood of the maple-tree, maple |||
acer2|acer|ācer| ācris, ācre||adj.|sharp, piercing, penetrating, cutting, irritating, pungent, no longer glowing, keener look, fierce, irritated, severe, impetuous, violent, vehement, consuming, bitter, subtle, acute, penetrating, sagacious, shrewd, ready, active, ardent, eager, spirited, keen, brave, zealous, spirited charioteer, Violent, hasty, quick, hot, passionate, fierce, severe, enraged, angry, more effectually than severity, most critical, keen, excessive, impetuous, an irresistible impulse, more formidable |||
acerbe|acerbe|acerbē|||adv.|bitterly, act., harshly, severely, cruelly, sharply, inimically, painfully, grievously, with sorrow, too severely |||
acerbitas|acerbitas|acerbitās| ātis|f||bitterness, harshness, sourness, public rewards bringing also bitter trials, harshness, bitterness, rigor, severity, hostility, hatred, the poison of malice, an object of bitter hatred. &mdash;Plur., grief, sorrow, pain, anguish, affliction |||
acerbo|acerbo|acerbō| &mdash;, āre |||to aggravate, make worse |||
acerbus|acerbus|acerbus|||adj.|harsh, bitter, unripe, harsh, sharp, bitter, of harsh voice, Neut. plur, rough, harsh, violent, rigorous, crabbed, severe, repulsive, hard, morose, morose, Neut. plur, chafing with rage, premature, crude, unripe, Grievous, bitter, severe, oppressive, burdensome, distressing, a rigid conscription, all the bitterness |||
acernus|acernus|acernus|||adj.|of maple wood |||
acerra|acerra|acerra| ae|f||a casket for incense |||
acerrime|acerrime|ācerrimē|||adv.| of acriter. |||
acersecomes|acersecomes|acersecomēs| ae|m||unshorn, i. e. ever youthful. |||
acervalis|acervalis|acervālis| e||adj.|a conclusion by accumulation, sorites |||
acervatim|acervatim|acervātim|||adv.|by heaps, in heaps, BA, briefly, concisely, summarily |||
acervo|acervo|acervō| āvī, &mdash;, āre |||to heap up, pile up, to multiply |||
acervus|acervus|acervus| ī|m|| a mass of similar objects, pile, heap: |||
acesco|acesco|acēscō| &mdash;, &mdash;, ere |||to turn sour, sour |||
acetum|acetum|acētum| ī|n||vinegar, spoiled, wit, shrewdness |||
Achaei|Achaei|Achaeī| ōrum|m|| the inhabitants of the district of Achaia. |||
Achaemenes|Achaemenes|Achaemenēs| īs|m|| an ancestor of the kings of Persia: |||
Achaemenius|Achaemenius|Achaemenius|||adj.|Persian, Parthian |||
Achaias|Achaias|Achāias||f|| a Greek woman |||
Achaicus|Achaicus|Achāicus|||adj.| Achaean, Grecian: |||
Achais|Achais|Achāis| idis or idos||adj.| Grecian: |||
Achaius|Achaius|Achāius|||adj.| Grecian: |||
Acharnanus|Acharnanus|Acharnānus|||adj.| of Acharnae (an Attic deme), |||
Acheloius|Acheloius|Achelōius|||adj.| of the river Achelous: |||
Acheron|Acheron|Acherōn| tis|m|| a river of the lower world. |||
Acheruns|Acheruns|Acherūns| untis|m|| a river of the lower world. |||
Acherusius|Acherusius|Acherūsīus (-ūnsius)|||adj.| of the Acheron in Bruttium: |||
Achilles|Achilles|Achillēs| is |m|| a Grecian hero. |||
Achilleus|Achilleus|Achillēus|||adj.| of Achilles |||
Achivus|Achivus|Achīvus|||adj.| Achaean, Grecian, O. |||
Acidalia|Acidalia|Acīdalia| ae|f|| an epithet of Venus, from the fountain Acidalia in Boeotia, V. |||
acidus|acidus|acidus|||adj.|sour, acid, tart, sharp, pungent, disagreeable, to the two |||
acies|acies|aciēs| ēī |f||a sharp edge, point, cutting part, the edge, efficiency, sharpness of vision, keen look, the sight, Brilliancy, brightness, the pupil of the eye, the eye, the front of an army, line of battle, battle-array, the legion in three ranks, The battle-array, an army in order of battle, two divisions of an army, the van, the rear, a line of fire, A battle, engagement, acuteness, sharpness, force, power, A verbal contest, disputation, discussion, debate |||
acinaces|acinaces|acīnacēs| is|m|| a scimitar, short sabre, H., Cu. |||
acinum|acinum|acinum| ī|n|| a small berry: |||
acinus|acinus|acinus| ī|m|||||
acipenser|acipenser|acipēnser| eris|m||a sea-fish |||
aclys|aclys|āclys (āclis)| ydis|f|| a small javelin with a strap, V. |||
acoenonoetus|acoenonoetus|acoenonoētus| ī|m|| without common-sense, Iu. |||
aconitum|aconitum|aconītum (-ton)| ī|n|| a poisonous plant, wolf's-bane, aconite, O., V.&mdash;Poet., poison: |||
acquiesco|acquiesco|acquiēscō, acquīrō| see ad-qui-. |||., POISON:|||
Acragas|Acragas|Acragas| antis|m|| Agrigentum, V. |||
acratophoron|acratophoron|acrātophoron (-um)| ī|n|| a vessel for unmixed wine. |||
acredula|acredula|acrēdula| ae|f|| an unknown animal. |||
acriculus|acriculus|ācriculus|||adj. |irritable |||
acrimonia|acrimonia|ācrimōnia| ae|f||sharpness, pungency, severity, acrimony, energy |||
Acrisioneus|Acrisioneus|Acrisiōnēus|||adj.| of Acrisius, V., O. |||
Acrisioniades|Acrisioniades|ācrisiōniadēs| ae|n|| a descendant of Acrisius, i. e. Perseus, O. |||
Acrisius|Acrisius|ācrisius| ī|m|| a king of Argos, V., O. |||
acriter|acriter|ācriter|||adv.|sharply, fiercely, keenly, keenly, sharply, accurately, has a keener eye for, zealously, eagerly, earnestly, passionately, furiously, severely, the fire of passion |||
acroama|acroama|acroāma| atis|n|| an entertainment for the ear; |||
acroasis|acroasis|acroāsis| is|f|| prop., a hearing; hence, a discourse, lecture, C. |||
Acroceraunia|Acroceraunia|Acroceraunia| ōrum|n|| a rocky promontory of Epirus |||
acta|acta|acta| ae|f|| the sea-shore, sea-beach: |||
Actaei|Actaei|Actaeī| ōrum|m|| the people of Attica |||
Actaeon|Actaeon|Actaeōn| onis|m|| grandson of Cadmus |||
Actaeus|Actaeus|Actaeus|||adj.| prop. of Acte (the coast of Attica). |||
Actiacus|Actiacus|Actiacus|||adj.|of Actium: |||
Actias|Actias|Actias| adis||adj.| Athenian |||
actio|actio|āctiō| ōnis|f||a putting in motion, a performing, doing, action, in deeds, a rendering, a rendering, declamation, Public acts, official conduct, achievements, make their policy popular, a measure, A suit at law, action, process, to bring suit, this form of action, Permission to bring a suit, at the second trial |||
actito|actito|āctitō| āvī, &mdash;, āre|||to conduct often, be engaged in, act in |||
Actium|Actium|Actium| ī|n|| a promontory of Acarnania |||
Actius|Actius|Actius|||adj.| of Actium: |||
actor|actor|āctor| ōris|m||a driver, a shepherd, An agent, doer, performer, actor, worker and counsellor, manager of public property, an accuser, complainant, plaintiff, prosecutor, official prosecutor.&mdash;He who delivers an oration, the speaker, A player, actor |||
actuaria|actuaria|āctuāria| ae|f||a swift boat |||
actuariola|actuariola|āctuāriola| ae|f||a row-boat, barge |||
actuarius|actuarius|āctuārius|||adj.|easily driven, swift |||
actum|actum|āctum| ī|n||a deed, transaction, proposition, decree, law, a register of public events, records, journal |||
actuose|actuose|āctuōsē|||adv.|passionately, eagerly |||
actuosus|actuosus|āctuōsus|||adj.|full of life, active |||
actus2|actus|āctus| ūs|m||a driving, impulse, setting in motion, with a mighty impulse, a right of way, right to drive through, a recital, delivery, expressive gestures, A part of a play, act, this crowning achievement, to see done |||
actutum|actutum|āctūtum|||adv.| immediately, forthwith: |||
aculeatus|aculeatus|aculeātus|||adj.|with a sting, stinging, sharp, Cunning, subtle |||
aculeus|aculeus|aculeus| ī|m||a sting, a point, a sting, spur, goad |||
acumen|acumen|acūmen| inis|n||a point, united in a tapering tail, acuteness, keenness, sharpness, tricks, pretences |||
acuo|acuo|acuō| uī, ūtus, ere |||to sharpen, whet, point, make sharp, to sharpen, exercise, practise, to sharpen, quicken, arouse, discipline, improve, will make them keen, To stimulate, spur on, stir, arouse, incite, encourage, kindle, To increase, embitter, strengthen, exasperate |||
acus|acus|acus| ūs|f||a needle, to embroider |||
acute|acute|acūtē|||adv.|sharply, shrilly, in a high key, shrewdly, with discernment, pointedly |||
acutulus|acutulus|acūtulus|||adj. |rather keen |||
acutum|acutum|acūtum|||adv.| see acutus. |||
acutus|acutus|acūtus|||adj.|sharpened, pointed, sharp, cutting, pointed, sharp, pungent, shrill, highest treble, shrill, oppressive, violent, violent calamities, shrilly, keen, sharp, rigid censoriousness, keen, acute, discerning, penetrating, intelligent, sagacious, cunning, requiring a keen mind, keenly |||
ad|ad|ad||||to, toward, more inclined to, to or on the right or left, to, toward, he approaches the city, it is added to the province, to the temple of, to write one a letter, to give a letter to one, to answer, to dedicate a book to one, to, addressed to, to the vicinity of, to the neighborhood of, approach, against, was fought out on foot, to, even to, all the way to, near to, by, at, close by, at hand, at my house, among, in the judgment of, lapis |||
adactio|adactio|adāctiō| ōnis|f||a compelling, exaction |||
adactus|adactus|adāctus||||P. of adigo. |||
adaeque|adaeque|ad-aequē|||adv.| in like manner, so also |||
adaequo|adaequo|ad-aequō| āvī, ātus, āre|||to make equal, equalize, level with: |||
adamanteus|adamanteus|adamantēus|||adj.|hard as steel, adamantine, not to be broken |||
adamantinus|adamantinus|adamantinus|||adj.| hard as steel, inflexible: |||
adamas|adamas|adamās| antis|m|| adamant, hardest iron, steel: |||
adamo|adamo|ad-amō| āvī, ātus, āre|||to fall in love with, conceive desire for, desire eagerly: |||
adaperio|adaperio|ad-aperiō| eruī, ertus, īre|||to throw open, open wide, lay open: |||
