Aracha|ville de la Susiane / île en face de la Perse
Araura|ville de la Narbonnaise
Arauraca|ville d'Arménie Mineure
Arausa|ville d'Illyrie
Arba|île de l'Adriatique
Arbaca|ville d'Arachosie
Arbeia|ville de Bretagne
Archia|fille d'Océanus
archinauta|Inscr. pilote en chef, chef des matelots.
Arcidava|ville de Dacie
Arecca|Arecca (ville de Susiane).
Aretissa|lac où se jette le Tibre
Arginussa|Arginuse (contrée de Phrygie).
Ariarathia|ville de Cappadoce
Arica|île entre la Gaule et la Bretagne
Arimaspa|peuple de la Sarmatie européenne
Armenita|fleuve d'Étrurie
armilausia|espèce de blouse ouverte en avant et en arrière, fermée seulement sur les épaules
Armorica|l'Armorique (contrée à l'ouest de la Gaule).
Armua|fleuve de la Numidie
Armysia|partie de la Carmanie
Armyzia|Plin. l'Armuzie (contrée de la Carmanie).
arragia|galerie d'une mine d'or
Artynia|marais de Mysie
Arunda|ville de la Bétique
arvilla|dim. de arvina, embonpoint
arytena|vase à puiser de l'eau
Asana|fleuve de la Mauritanie
Asara|ville d'Éthiopie
Ascua|ville d'Espagne
Aseria|ville de Liburnie
Asgilia|île voisine de l'Éolie
asiarchia|dignité d'asiarque.
Aspona|ville de Galatie
Athana|nom grec [dorien] de Minerve
Attana|ville d'Arabie
Attelebussa|île de la mer de Lycie
Attenia|ville d'Éthiopie
Atteva|Attéva (ville d'Ethiopie).
Atussa|ville de Bithynie
Audena|fleuve d'Étrurie
Auga|Augée [mère de Télèphe]
aulaea|c. aulaeum
Ausafa|ville d'Afrique
Austeravia|Plin. Austeravia (une île au nord de la Germanie).
Automula|ville de l'Inde
Auxima|c. Uxama.
Auxuma|c. Uxama.
Aveia|ancienne ville près d'Aquilée
Axima|ville de la Narbonnaise [auj. Aixme]
Azibintha|île [une des Sporades]
baccula|petite baie, petit fruit.
Balanea|ville de Syrie
Balbura|ville de Lycie
Baraxmalcha|ville de Mésopotamie
Bastitania|pays habité par les Bastitani
belba|belua
Bergusia|ville de Gaule
berna|v. verna.
Beroa|nom de femme
Berressa|ville d'Éthiopie
Berua|ville de Rhétie
Besara|ville de Narbonnaise ;
Bessapara|v. de Thrace
Bethsaida|ville de Galilée
Bethulia|Béthulie [v. de Galilée]
Bezabda|ville de Mésopotamie
Bibula|nom de femme
Bisula|c. Visula.
Bizia|Bizia (ville de Thrace).
Blandona|ville de Bithynie
blattia|c. blatta § 2 / crotte, éclaboussure / caillot de sang
Blenna|ville de Crète
Blera|ville d'Étrurie
Bletisa|ville de Lusitanie
Boea|ville de Laconie
Bonconica|ville sur le Rhin, dans le pays des Vangiones
Borsippa|ville de Babylonie
Boudicca|reine des Icènes
Bovenna|île voisine de la Sardaigne
Bracara|ville de la Tarraconnaise, auj. Braga
Bracaraugusta|ville de la Tarraconnaise, auj. Braga
bracha|c. braca
Brigobanna|ville de Vindélicie
britannica|sorte de patience [herbe]
Brixa|fleuve d'Asie, dans l'Élymaïde
bubella|dim. de bubula
Buluba|ville d'Afrique
Burcana|île de la Germanie septentrionale
Burchana|Burchana (île au nord de la Germanie).
Burgundia|pays conquis par les Burgondes [l'Est de la Gaule]
Busa|nom d'une femme d'Apulie
Buta|nom d'h.
Butua|ville de Dalmatie
buxtula|petite boîte
buxula|petite boîte
Byrrhia|nom d'esclave
Cabalaca|ville d'Albanie [en Asie]
Cabillona|Cabillone [ville des Éduens, auj. Chalon-sur-Saône]
Cachinna|ville d'Arabie
Cadara|presqu'île du golfe Arabique
Cadmogena|descendante de Cadmus
caementaria|taille des pierres
Caenia|montagne des Alpes
Caiatia|ville du Samnium
Calama|ville de Numidie [auj. Guelma]
calamintha|herbe aux chats.
Calathusa|île de la mer Égée
calceocaliga|soulier montant
Calchedona|de Chalcédoine
callaica|c. callais
Calleva|ville des Atrébates
Callinipaza|ville de l'Inde
Calliphana|nom de f.
Callipia|nom d'une fontaine d'Éphèse
Calloniana|ville de Sicile
calycularia|pariétaire
Canatha|ville de Palestine
cannucia|c. cannetum
cantharida|mouche cantharide
Cantia|v. Cantium
caphalaeota|percepteur de la capitation ou taxe par tête
Caphrena|ville de Mésopotamie
Caphya|forêt d'Arcadie
Capidava|ville de la Mésie inférieure
Cappadoca|laitue de Cappadoce.
capsarara|femme qui garde les vêtements aux bains
Carbania|île de la Méditerranée, près de l'Italie
Carbia|ville de Sardaigne
Carbula|ville de la Bétique
Carcathiocerta|ville de l'Arménie
Cardava|ville de l'Arabie Heureuse
Caretha|île près de la Lycie [la même que Dionysia]
caricula|petite figue sèche
Carrea|ville de Ligurie
Cartana|ville d'Asie
Carteria|île de la mer Égée
Cartima|ville de la Bétique
Cartinna|ville de la Mauritanie
Carusa|ville du Pont
Carynia|ville d'Achaïe
Cassera|ville de Macédoine
Casuaga|fleuve qui se jette dans le Gange
caudula|dim. de cauda
Caulonea|ville du Bruttium
cava|fossé
cavillula|Plaut. petite plaisanterie.
Cecinna|fleuve d'Étrurie
Celadusa|une des Cyclades
centenodia|renouée [plante]
Ceperaria|ville de Judée
Cepia|île près de Chypre
cerasta|v. cerastes.
Cercinna|île sur la côte d'Afrique
Cervaria|ville sur la frontière de l'Hispanie et de la Gaule [auj. Cervera]
Cesennia|Censennia (ville du Samnium).
Cestria|ville d'Épire
Charbrusa|nom d'une île déserte
Charita|nom de f.
Charmodara|v. de Syrie dans la Commagène
chartapola|marchand de papier
chelynia|cf. chelonia, chelys), nom d'une pierre précieuse
Chia|autre nom de l'île de Chio
chiliarcha|un chiliarque (officier qui commande mille hommes).
chiliodynamia|polemonia ou philetaeria [plante]
Chimera|ville d'Épire
chlaena|manteau grec
Chlamydia|ancien nom de l'île de Délos
Choara|région de la Parthie
Choba|ville de la Mauritanie Césarienne
chondrilla|chondrille [plante]
Chosdroena|contrée de la Mésopotamie, nommée aussi Osdroène ou Osroène
Cillaba|Cillaba (ville d'Afrique, près de la petite Syrte).
Cingilla|ville de la Commagène
Cinyria|ville de Chypre
circitura|ronde, tour
citocacia|garou [plante]
Clea|nom de femme
Cluana|ville du Picénum
Cluentia|nom de femme
cluma|v. gluma
Coboea|port d'Arabie
Cobucla|ville de la Mauritanie Tingitane
coevangelista|compagnon d'apostolat
Colicaria|v. de la Gaule Cispadane
Colobona|ville de la Bétique
Colophona|c. Colophon.
Colophonia|résine de Colophon
Combulteria|ville du voisinage de Capoue
Commagena|Commagène [région de la Syrie]
Commotria|titre d'une pièce de Naevius
comotria|v. commotria.
compropheta|confrère en prophétie
concapsa|coffre en renfermant un autre
concinnatura|action de coller
concla|c. conchula.
concubinula|petite concubine
condama|mesure agraire
conduma|maison avec ses dépendances
confixura|piqûre [d'une épine]
conniventia|indulgence / connivence
consponsa|Vulg. la fiancée, la mariée.
Contenebra|ville d'Étrurie
Conterebromia|la Contérébromia (mot forgé par Plaute : pays parcouru par Bacchus, pays où l'on foule beaucoup de raisin; Bromius est un surnom de Bacchus).
Contosolia|ville d'Hispanie
Contributa|ville de la Bétique
Coralliba|île de l'Inde
Cordylussa|île près de Rhodes
Corolia|ville de l'Arabie Heureuse
cosmopoeia|création au monde
Cossutia|femme de César
Cosura|île entre la Sicile et l'Afrique
Cothonea|mère de Triptolème
Cotinusa|ancien nom de Gadès
Cotinussa|ancien nom de Gadès
Cottonara|contrée de l'Inde
Covella|surnom de Junon
Crambussa|Crambuse (île près de la Cilicie).
Cranda|ville d'Éthiopie
Crania|montagne d'Épire
Cratea|ville de Bithynie
Cratia|ville de Bithynie
crea|ordure
Crenacca|affluent du Gange
creobula|c. mentastrum.
crepa|arch. pour capra
Crexa|île de l'Adriatique
crocophantia|c. crocota.
crocufantia|c. crocota.
Cromna|ville de Paphlagonie
crustaria|taverne (où l'on boit dans des coupes ornées de bas-reliefs).
Cumania|forteresse de l'Ibérie d'Asie
cunica|douille (partie du pressoir)
cuppa|grand vase en bois, tonneau / sarcophage
curcuba|sorte de câble / c. curcuma
Curiga|ville de Bétique
Curunda|ville d'Hispanie
custodiola|dim. de custodia
Cydara|fleuve de l'île Taprobane
cymbalaria|s.-ent. herba), cyclamen
cyrnea|c. hirnea
Cyta|c. Cytae
Damea|ancien nom d'Apamée [en Syrie]
Danagula|ville de l'Inde en deçà du Gange
danistaria|prêt d'argent, usure
Daphnusa|île de la mer Égée [la même que Tellusa]
Daphusa|montagne de Thessalie
Daunia|la Daunie (autre nom de l'Apulie).
Davana|ville de Mésopotamie
decanissa|femme du dizenier
deflexura|c. deflexio.
Delgovitia|ville de Bretagne
delicata|enfant gâtée
Demonassa|Démonassa [soeur d'Irus]
Demosthea|Démosthée [fille de Priam]
Denda|ville de Macédoine
denigratura|dénigrement.
Denna|ville d'Éthiopie
depesta|vase [employé dans les sacrifices chez les Sabins]
depictura|peinture
Derrha|ville de Macédoine, sur le golfe Thermaïque
diacolea|c. chamaemelum
diagentiana|antidote à base de gentiane
diaristolochia|extrait d'aristoloche
Dictaea|nom d'une île déserte
Diethusa|île déserte de la mer Égée
Digba|ville d'Asie au confluent du Tigre et de l'Euphrate
Dindymena|nom de Cybèle
Dinia|ville de la Narbonnaise [auj. Digne]
Diocaesarea|ville de Cappadoce
diodela|plante inconnue
Dionigena|fils de Vénus [Cupidon]
Dioscoria|c. Dioscurias.
Direa|ville située sur le Nil
disceptatiuncula|Gell. petit débat.
Diugenia|nom de femme
Diviana|c. Diana
domicula|maisonnette.
Domitilla|nom de femme
Domnica|nom de femme
Donacoessa|montagne de Phthiotide
Donatista|Donatiste [sectateur de Donat]
Donoessa|c. Donusa
Donuca|montagne de Thrace
Dora|fontaine d'Arabie
dracchma|- 1 - drachme (= un denier romain). - 2 - drachme (poids, tiers de l'once).
Drymusa|île voisine de l'Ionie
Dryusa|ancien nom de Samos
Duelona|c. Bellona
dulcisapa|sorte de vin doux
Dumana|ville de l'Égypte supérieure
Dumatha|ville sur le Tigre
Dumna|île voisine des Orcades
Durnovaria|ville de Bretagne
Eburobriga|ville de Gaule dans la 4e Lyonnaise [auj. Avrolles]
ecbola|un javelot.
Ecdippa|ville de Phénicie
echedermia|maigreur extrême (chez les animaux).
Echinussa|île de la mer Égée, la même que Cimolus
Echymnia|ville de Thrace
Edeta|ville de la Tarraconnaise
editiuncula|dim. de editio
effulgentia|action de briller
Egeta|c. aegeta
ejectitia|qui a mis bas avant terme.
Elaeussa|île voisine de Smyrne
Elaphusa|île vis-à-vis de Corcyre
Eleusa|Éléuse [île du golfe Saronique]
Elimeia|Elimée (contrée de la Macédoine).
Elimia|Élimée ou Élimiotide [petite contrée au sud de l'Éordée, sur la frontière Nord de la Thessalie]
Elmataea|ville d'Arabie
elucescentia|action de faire rayonner
Emesa|ville de la Coelé-Syrie [auj. Homs]
Emisa|ville de la Coelé-Syrie [auj. Homs]
Emona|ville de Pannonie
Enagora|île sur les côtes d'Asie
Engada|ville de Judée
Eodanda|Eodanda (île près de l'Arabie).
Ephrata|ancien nom de Bethléem
epopta|épopte [suprêmement initié aux mystères d'Éleusis]
Epponina|Épponine [femme de Sabinus]
eranista|celui qui fait une collecte
Eranusa|île sur les côtes du Bruttium
Ergavica|ville de la Celtibérie
Ericusa|une des îles Éoliennes / île près de Corcyre
Eriphusa|une des îles éoliennes
esocina|vivier pour le poisson nommé esox
Esula|v. aesula.
Eucheria|Euchérie [femme poète d'Aquitaine]
Eudemia|île non loin de Scyros
Eudoxia|Eudoxie [femme de Valentinien]
Euhippia|surnom de la ville de Thyatire [renommée pour ses chevaux]
Euippia|surnom de la ville de Thyatire [renommée pour ses chevaux]
Eulimna|une des îles Sporades
Eumenia|[ville de Thrace et de la Grande Phrygie]
Euodia|nom de femme, nom d'hommes
Eupalimna|ville d'Étolie
Euploea|nom d'une petite île près de Naples / nom de femme
Euryanassa|île près de Chio
Eurymedusa|Euryméduse [aimée de Jupiter et mère de Myrmidon]
Eutropia|nom d'une sainte
evocatoria|v. evocatorius.
exagella|moyen de vérification, contrôle
examina|c. examen,
exsupera|sorte de verveine
extracola|celui ou celle qui habite au dehors
Exusta|île dans le golfe Arabique
fabata|purée de fèves
fabea|servante ; [un] esclave
fabricatura|Dig. ouvrage de manufacture, ouvrage fait à la main.
Fabulla|Fabulla (nom de femme).
facella|petit flambeau
Fadia|Fadia (nom de femme).
Fadilla|nom de femme
fecundia|c. fecunditas
fenisecia|Varr. récolte de foin, foin.
Festa|nom de femme
figulina|art du potier / carrière d'argile / atelier (boutique) de potier
flasca|vase pour le vin [outre ou tasse en cuir]
forbia|aliments.
frugiperda|qui perd ses fruits.
frutilla|Gloss. charme, sortilège.
Fuffetia|nom d'une vestale
funera|Serv. proche parente du défunt (qui mène le deuil).
gelela|coloquinte
Genosia|Génosia (ville de Germanie).
Gilva|ville de la Mauritanie Césarienne
graccula|femelle du choucas.
Graeca|une Grecque, une femme grecque.
Hippomeneia|c. Hippomeneis.
Hippona|v. de Numidie)
hippopera|valise, portemanteau
hoedulea|petite chèvre.
Homerida|Plaut. imitateur d'Homère.
Homna|v. de Carmanie
Honoria|nom de femme
hordeia|sorte de poisson de mer ou de mollusque
Hormisda|nom de plusieurs rois de Perse
hyaenia|sorte de pierre précieuse
Hybanda|île voisine de l'Ionie
Hyda|ville de Carie
Hydrussa|autre nom des îles de Céos, Andros et Ténos
Hyetussa|île voisine de la Carie
Hygiaenusa|nom de femme
Hylerna|v. Helernus
Hypaea|une des îles Stéchades
hyperbola|hyperbole [rhét.]
Hyperea|fontaine de Phères
Hypsithylla|nom de femme
hysterica|femme hystérique
Ianassa|Hyg. Ianassa (nom d'une nymphe de la mer).
iatroalipta|qui traite par les frictions, masseur
Ibera|ville de Tarraconnaise
Iberina|nom de femme
Icarusa|fleuve d'Asie
Ichara|île du golfe Arabique
Ichthyoessa|nom donné à l'île de Carie abondante en poisson
Idicra|ville de Numidie
Idothea|fille de l'Océan
Ilipula|ville de Bétique
Illetia|île près d'Éphèse
Illucia|ville de la Tarraconnaise
Ilpa|ville de Bétique
inconscientia|ignorance [d'une chose]
infractura|action de briser
ingloria|absence de gloire.
inobedientia|désobéissance.
insidia|c. insidiae.
Inuca|ville de la Zeugitane
invidiola|petite jalousie, petite rivalité.
ipsima|la maîtresse.
Iresia|île de la mer Égée
Irrhesia|île de la mer Égée
Isca|ville de Bretagne
Iscia|v. Isacia.
Isera|v. Isara 1.
Isinda|d'Isinde, ville de Pamphylie
Isinisca|ville de Vindélicie
Istiaea|Istiée, ville de l'Eubée
Isunisca|ville de Vindélicie
Isura|île près des côtes de l'Arabie
Itea|une des Danaïdes
Itonia|surnom de Minerve (d'Itone)
Jephta|ville de la tribu de Juda
Joanna|Jeanne [nom de femme]
Jucunda|nom d'homme, nom de femme
Juncaria|ville de Tarraconnaise
jurisperitia|c. juris peritia
Juvavia|ville de la Norique
Labulla|nom de femme, nom d'homme
laceratura|Cass. déchirure (faite par le sacrificateur).
lachruma|larme / larme ou goutte de gomme [issue de certaines plantes]
Lacimurga|ville de Bétique
Lactura|c. Lactora
Laevina|nom de femme
lanata|brebis
Langobriga|ville de Lusitanie
lanna|lobe [de l'oreille]
Larumna|ville des Locriens
Lasaea|ville de Crète
Lasaeea|Vulg. Lasée (ville de Crète).
Latina|- 1 - une femme du Latium. - 2 - la voie Latine (de Rome à Casilinum).
Laurentina|c. Larentia
Lentia|ville de la Norique
Leocadia|nom de femme, nom d'homme
Leontia|nom de femme
Lepidina|nom de femme, nom d'homme
Leucia|pays des Leuques
Leucolla|île voisine de la Lycie / promontoire de Pamphylie
leucophlegmatia|pâleur annonçant l'hydropisie
Libisosa|ville de la Tarraconnaise
Libisosona|ville de la Tarraconnaise.
lichena|c. lichen
Ligia|Ligéa. - 1 - Virg. une nymphe. - 2 - Solin. île près du Bruttium.
Limera|surnom d'Épidaure, ville de Laconie
lintearia|lingère, marchande de toile
Lintuma|ville située sur le Nil
Lissa|ancienne ville de Mauritanie
Lucceja2|nom de femme.
Lucilla|nom de femme, nom d'homme
luecula|dim. de lues
luria|oxymel
Macaria|nom des îles Lesbos, Chypre et Rhodes
Machia|île de la mer Égée
Macua|ville située sur le Nil
Macynia|ville d'Étolie
Madianita|Madianite
Maeandria|ville d'Épire
Maenuba|ville de la Bétique / m., fleuve voisin de cette ville
maerentia|tristesse, affiction.
Magada|ville située sur le Nil
Magassa|ville située sur le Nil
Magea|source de Sicile, près de Syracuse
Magetobria|ville de la Lyonnaise, chez les Séquaniens
Magoa|ville d'Asie, près du Tigre
Magontia|c. Mogontiacum
Magrada|fleuve de la Tarraconnaise
Maguesa|ville de Mauritanie
Majorica|Majorque [une des îles Baléares]
Malianda|ancien nom de la Bithynie
malvella|tunique faite de fibres de mauve
Mambra|Mambré [vallée dans la tribu de Juda]
Mamortha|ville de Judée, nommée ensuite Néapolis
Mamuda|ville d'Éthiopie ou d'Égypte
manubia|Sen. éclair, coup de tonnerre (terme de la langue des Etrusques).
Marathusa|ville de Crète / île de la mer Égée
Marcellina|nom d'homme et de femme
Mardonia|ancienne ville de Lucanie
Mariba|ville d'Arabie
Maribba|ville d'Arabie
Maronilla|nom d'homme et de femme
Marruca|ville de Bétique
Marsidia|nom de f.
Marta|rivière d'Étrurie
Mascula|ville de Numidie
Masculula|ville de Numidie
Massada|place forte de Judée
Mastusia|promontoire de Thrace / montagne d'Asie
Mastya|ville de Paphlagonie
Mathena|ville située sur le Nil
Matidia|nom de femme
Matrinia|nom d'h. et de f.
Maxilua|ville de la Bétique
Maxima|nom de f.
Maximiana|s.-ent. legio), nom d'une légion impériale
Maximina|nom de f.
Maxula|ville de la Zeugitane
Mecyberna|ville de Macédoine
Medama|ville du Bruttium
Medena|nom plus moderne de la Médie
Medma|c. Medama
Medmassa|ville de Carie
Medobriga|ville de Lusitanie
Meduana|la Mayenne [rivière]
Megeda|v. Megada.
Megilla|nom de f.
Melaena|nom de l'île de Céphallénie / nom de l'île de Corcyre
Melanippa|Mélanippe [fille d'Éole] / [titre d'une trag. d'Accius] / soeur d'Antiope
Melanthia|nom d'une île déserte
Melantiana|village de Thrace
mellila|mes délices (t. de tendresse).
Meloessa|île voisine du Bruttium
Membresa|ville de la Zeugitane
Membressa|ville de la Zeugitane
Membrissa|ville de la Zeugitane
Meminia|nom de Vénus
Memmia|femme d'Alexandre Sévère
Menaria|île près de la Corse
Menosca|ville de la Tarraconnaise
Menula|nom d'h.
meraria|cabaret
Merobrica|ville de Lusitanie
Merobriga|ville de Lusitanie
Mesala|ville d'Arabie
Messa|ville de Thrace
Mesua|presqu'île de la Narbonnaise
metallica|métallurgie
metatoria|lettre qui sert à préparer le logement
Metrodora|nom de f.
Mettia|nom de femme
Mieza|ville de l'Émathie
mimofabula|mime, sorte de pièce de théâtre
Mirobrica|villes de Bétique et de Lusitanie
Mirobriga|villes de Bétique et de Lusitanie
Miscella|ville de Macédoine
Misua|ville de la Zeugitane
Modogalinga|île du Gange
Modura|ville de l'Inde
Mogetiana|ville de la basse Pannonie
Mogontia|ville de Germanie [Mayence]
Molycria|ville d'Étolie
Molyeria|ville d'Etolie.
monomarita|qui n'a été mariée qu'une fois
motoria|]
mozicia|sorte de coffre ou de cassette
Muenna|ville des Rémi
Mulelacha|ville de la Mauritanie Tingitane
Murricia|nom de femme, nom d'homme
Muza|fort de l'Arabie Heureuse
mylasea|sorte de chanvre [de Mylasa]
myrionyma|qui a un grand nombre de noms [épithète d'Isis]
myrrhiola|vin de myrrhe
Mysanda|ville de Cilicie
mythopoeia|fiction
Naarmalcha|v. Narmalcha
Naeva|ville de Bétique
Nagara|ville d'Arabie
Nagia|ville de l'Arabie Heureuse
napa|v. napus
Naraggara|ville de Numidie
Naria|déesse des Helvétiens
Narraga|fleuve de Mésopotamie
Narsaduma|ville d'Éthiopie
Narthecussa|île près de Rhodes
Nascica|épithète de l'une des Calagurris [Calahorra]
Nassica|épithète de l'une des Calagurris [Calahorra]
Nea|île de la mer Égée // ville de la Troade
Nebrissa|ville de la Bétique
nectaria|c. nectarea.
Negrana|ville d'Arabie
Nehalenia|déesse adorée sur les bords du Rhin
Neocaesarea|ville du Pont
Nereida|c. Nereis
Nervesia|village des Èques
Nesca|ville d'Arabie
Nestica|nom d'homme
Nesua|fleuve de la Tarraconnaise
Nevita|barbare qui devint consul sous Julien
Nevitta|barbare qui devint consul sous Julien
Nicasia|une des îles Sporades
Nicotera|ville du Bruttium
Ninguaria|une des îles Fortunées
Nisaea|v. Nisiaea.
Nonagria|ancien nom de l'île d'Andros
Nonia|Nonia Celsa [femme de Macrin]
nonnula|filet pour prendre les oiseaux
nonperitia|inhabileté, impéritie, ignorance
noricula|dim. de nurus
Nova|ville de la Tarraconnaise
Novana|ville du Picénun
numidica|poule numidique
Numitoria|nom d'homme et nom de femme
oblata|[s.-ent. hostia] hostie
Obrima|rivière de la Grande Phrygie, affluent du Méandre
Obulcula|ville de la Bétique
Ocalea|ville de Béotie
Ocha|ville de l'Eubée
Ocilia|port de l'Arabie Heureuse
oclopeta|animal comestible inconnu (selon les auteurs corbeau, grue, bécasse, lièvre, crabe ou seiche...) d'étymologie encore discutée
Ocra|ville de la Vénétie
Odia|une des Sporades
Oenianda|ville de Lycie
Oenoa|v. oenoe.
Oenunia|ville du Pont
Oenussa|île voisine de Chios
Ogulnia|nom d'homme, nom de femme
Olana|nom d'une des bouches du Pô [al. Volane]
oleagina|olivier
Olivula|port de Ligurie
Onisia|v. Onysia.
Onuba|ville de Bétique
Onysia|île près de la Crète
Optatia|nom de femme
Oresta|ancien nom d'Adrianopolis, en Thrace
Orga|fontaine de la Narbonnaise
Origenista|sectateur d'Origène
Orna|rivière de la Gaule Belgique [l'Ornain]
Osericta|île de la Germanie septentrionale
Oserita|île de la Germanie septentrionale
Ossigitania|pays d'Ossigi
Ossonoba|ville de Lusitanie / autre en Bétique, nommée aussi aestuaria
Ostra|ville de l'Ombrie
Ostracina|ville de la Basse-Égypte
otacusta|espion
Othona|ville maritime de la Bretagne
Otrera|une des Amazones, mère d'Hippolyte et de Penthésilée
ovilla|viande de mouton
ovina|viande de mouton
Oxia|petite île devant Leucade
Palamna|ville de Thessalie
Palatina|la tribu Palatine [tribu urbaine]
Palibothra|ville de l'Inde
Palimbothra|ville de l'Inde
Palinandraea|ville de Macédoine
Pallaconta|fleuve de Mésopotamie
pancratiasta|pancratiaste, athlète, qui combat au pancrace
Pandetaria|Pandatarie (île de la mer Tyrrhénienne, lieu d'exil sous l'empire).
pandia|sorte de pierre précieuse
Panissa|(Lebaigue P. 887) Panissa (fleuve de Thrace).
pannucia|haillon, guenille
Panthea|nom de femme
pantopola|v. seplasiarius.
panulia|bobine ou navette.
Papyra|c. Papyrium
paradisiacola|qui habite le paradis.
paraganda|bordure d'or ou de soie sur un vêtement / paragaude, vêtement avec bordure
paramma|selle de cuir pour les mulets (
Pardalisca|nom de femme, esclave de comédie
Parenta|ville d'Égypte ou d'Éthiopie
parhomoeologia|concession dont on se prévaut contre son adversaire
Paria|île, la même que Arados
Paroreia|partie de la Thrace ou pays voisin de la Thrace
parotida|v. parotis.
parrhesia|liberté d'allure [fig. de rhét.]
Parthenoarrhusa|ancien nom de l'île de Samos
parvipendentia|mépris, piètre estime
Paschasia|nom d'une martyre, nom d'un évêque d'Arles
Passala|île en face de la Carie
Pateria|île déserte de la mer Égée
Patigga|ville située sur le Nil
Patinga|ville située sur le Nil
Paulla|nom de femme / sainte Paule
Paullina|Lollia Paulina, femme de Caligula / Pompéia Paulina, femme de Sénèque
pejeratiuncula|petit parjure.
Pelendova|ville de Dacie
Pelinna|ville de Thessalie, sur le Pénée
Pellaconta|rivière de Mésopotamie, affluent de l'Euphrate
Pellina|Pélinée (ville de Thessalie, sur le Pénée).
Pelopia|surnom de la ville de Thyatire
Penestica|ville d'Helvétie
Perinthia|la Périnthienne (comédie de Ménandre).
Perirrheusa|île de la mer Égée, en face de l'Ionie
perissosyllaba|syllable ajoutée
Perolla|Pérolla (nom d'homme).
Perseia|fille de Persès [Hécate]
Pescennina|nom de femme
Petenisca|ville d'Helvétie
Phaenagora|île du Pont-Euxin
phalangita|phalangite, soldat d'une phalange
Phalanna|ville de la Pélasgiotide
Phalasia|promontoire de l'Eubée
Phalesina|ville de Thrace
Phaloria|ville de Thessalie
Phamea|nom d'homme
Phanagoria|ville d'Asie, sur le Bosphore
Phanoria|place forte du Pont
Pharnacea|ville du Pont
Pharnacia|ville du Pont
Phasania|v. Phazania.
Phausia|lieu près de Rhodes
Phazania|canton de la Cyrénaïque
Pheca|ville de Thessalie
Phellusa|île près de Lesbos
Philosophiana|ville de Sicile, aux sources du Géla
Philtera|Ter. Philtéra (nom de femme).
